world_seed	cell_seed	time	gene_id	X	P
1015	1067	0	0	0.35084227	0.35084227
1015	1067	0	1	0.80892537	0.80892537
1015	1067	0	2	0.16680531	0.16680531
1015	1067	0	3	0.66114744	0.66114744
1015	1067	0	4	0.66113654	0.66113654
1015	1067	0	5	0.35399857	0.35399857
1015	1067	0	6	0.39273857	0.39273857
1015	1067	0	7	0.75516877	0.75516877
1015	1067	0	8	0.21567775	0.21567775
1015	1067	0	9	0.70788313	0.70788313
1015	1067	0	10	0.36887435	0.36887435
1015	1067	0	11	0.15303506	0.15303506
1015	1067	0	12	0.23895810	0.23895810
1015	1067	0	13	0.50073273	0.50073273
1015	1067	0	14	0.60505677	0.60505677
1015	1067	0	15	0.26451745	0.26451745
1015	1067	0	16	0.10874968	0.10874968
1015	1067	0	17	0.13099139	0.13099139
1015	1067	0	18	0.95994994	0.95994994
1015	1067	0	19	0.28140768	0.28140768
1015	1067	1	0	0.20291754	0.64747678
1015	1067	1	1	0.42154334	1.50224823
1015	1067	1	2	0.87777116	0.29539454
1015	1067	1	3	1.24505231	1.09256056
1015	1067	1	4	0.86739963	1.20126590
1015	1067	1	5	0.77415811	0.61600027
1015	1067	1	6	0.75659241	0.63503656
1015	1067	1	7	0.62639127	1.28709818
1015	1067	1	8	0.20324648	0.39088075
1015	1067	1	9	0.55026665	1.29347342
1015	1067	1	10	0.48267595	0.62154029
1015	1067	1	11	0.15674171	0.26079718
1015	1067	1	12	0.92698457	0.40195986
1015	1067	1	13	0.25787880	0.88302478
1015	1067	1	14	0.55977006	1.10470504
1015	1067	1	15	0.81642260	0.48649870
1015	1067	1	16	0.09233771	0.18152286
1015	1067	1	17	0.57271573	0.21841249
1015	1067	1	18	1.22607391	1.73638686
1015	1067	1	19	0.24829319	0.46958005
1015	1067	2	0	0.11963245	0.75035430
1015	1067	2	1	0.24339130	1.70910715
1015	1067	2	2	1.32960152	1.10548906
1015	1067	2	3	1.72994754	1.95797189
1015	1067	2	4	0.89758593	1.84879900
1015	1067	2	5	1.11639808	1.23007273
1015	1067	2	6	1.07118305	1.14837486
1015	1067	2	7	0.54741251	1.53300369
1015	1067	2	8	0.21912745	0.52077333
1015	1067	2	9	0.48400741	1.62028152
1015	1067	2	10	0.55028823	0.90840916
1015	1067	2	11	0.20262759	0.34038626
1015	1067	2	12	1.45236064	1.20117558
1015	1067	2	13	0.13537292	0.93203755
1015	1067	2	14	0.55958531	1.47202158
1015	1067	2	15	1.09713390	1.22468900
1015	1067	2	16	0.09114120	0.21380931
1015	1067	2	17	0.79243097	0.71847999
1015	1067	2	18	1.33974627	2.63051679
1015	1067	2	19	0.23006345	0.56229313
1015	1067	3	0	0.10354423	0.75405137
1015	1067	3	1	0.16137272	1.70825207
1015	1067	3	2	1.63875077	2.18181650
