world_seed	cell_seed	time	gene_id	X	P
1010	1050	0	0	0.29325336	0.29325336
1010	1050	0	1	0.58370203	0.58370203
1010	1050	0	2	0.25183222	0.25183222
1010	1050	0	3	0.15591435	0.15591435
1010	1050	0	4	0.08350306	0.08350306
1010	1050	0	5	0.33628845	0.33628845
1010	1050	0	6	0.61132706	0.61132706
1010	1050	0	7	0.12755717	0.12755717
1010	1050	0	8	0.59984807	0.59984807
1010	1050	0	9	0.87514769	0.87514769
1010	1050	0	10	0.66714831	0.66714831
1010	1050	0	11	0.26896583	0.26896583
1010	1050	0	12	0.09743929	0.09743929
1010	1050	0	13	0.10408071	0.10408071
1010	1050	0	14	0.49944510	0.49944510
1010	1050	0	15	0.02356603	0.02356603
1010	1050	0	16	0.79330851	0.79330851
1010	1050	0	17	0.13447873	0.13447873
1010	1050	0	18	0.55422483	0.55422483
1010	1050	0	19	0.23058287	0.23058287
1010	1050	1	0	0.24154145	0.50301107
1010	1050	1	1	0.52587794	1.00548699
1010	1050	1	2	0.94496728	0.43232825
1010	1050	1	3	0.90905581	0.25806777
1010	1050	1	4	0.75036075	0.15645647
1010	1050	1	5	0.59170402	0.54272433
1010	1050	1	6	1.00655690	1.08180648
1010	1050	1	7	0.08707905	0.21992808
1010	1050	1	8	0.32048630	1.03485628
1010	1050	1	9	0.59686435	1.58927688
1010	1050	1	10	0.79794912	1.24253610
1010	1050	1	11	0.15070241	0.44864286
1010	1050	1	12	0.39884449	0.16784657
1010	1050	1	13	0.06884528	0.17979349
1010	1050	1	14	0.30789780	0.94122023
1010	1050	1	15	0.38711364	0.04021042
1010	1050	1	16	0.42558649	1.49913591
1010	1050	1	17	0.60661362	0.24271219
1010	1050	1	18	0.56273403	1.02469773
1010	1050	1	19	0.13366546	0.42232099
1010	1050	2	0	0.20532305	0.60133425
1010	1050	2	1	0.47934630	1.25244608
1010	1050	2	2	1.51997051	1.25483047
1010	1050	2	3	1.52581592	1.07813907
1010	1050	2	4	1.32455378	0.88705076
1010	1050	2	5	0.73236198	0.92486377
1010	1050	2	6	1.21827274	1.83911889
1010	1050	2	7	0.06332096	0.24634064
1010	1050	2	8	0.17521852	1.07096130
1010	1050	2	9	0.57101553	1.89373006
1010	1050	2	10	0.89096856	1.86958505
1010	1050	2	11	0.08593440	0.45040894
1010	1050	2	12	0.56648205	0.52012638
1010	1050	2	13	0.06281216	0.19963479
1010	1050	2	14	0.24665386	1.14043712
1010	1050	2	15	0.59329542	0.41551374
1010	1050	2	16	0.23465860	1.75940705
1010	1050	2	17	1.01216832	0.80195736
