world_seed	cell_seed	time	gene_id	X	P
1013	1059	0	0	0.63731005	0.63731005
1013	1059	0	1	0.90779017	0.90779017
1013	1059	0	2	0.04985606	0.04985606
1013	1059	0	3	0.23742460	0.23742460
1013	1059	0	4	0.03945192	0.03945192
1013	1059	0	5	0.04605391	0.04605391
1013	1059	0	6	0.26281173	0.26281173
1013	1059	0	7	0.01565424	0.01565424
1013	1059	0	8	0.32234890	0.32234890
1013	1059	0	9	0.02418469	0.02418469
1013	1059	0	10	0.31824740	0.31824740
1013	1059	0	11	0.63238599	0.63238599
1013	1059	0	12	0.88812747	0.88812747
1013	1059	0	13	0.95744324	0.95744324
1013	1059	0	14	0.53187605	0.53187605
1013	1059	0	15	0.58950036	0.58950036
1013	1059	0	16	0.24253164	0.24253164
1013	1059	0	17	0.96180790	0.96180790
1013	1059	0	18	0.75473078	0.75473078
1013	1059	0	19	0.15018887	0.15018887
1013	1059	1	0	0.40105686	1.10496602
1013	1059	1	1	0.53557157	1.70309604
1013	1059	1	2	0.56654224	0.09097259
1013	1059	1	3	0.44403306	0.40700925
1013	1059	1	4	0.54583016	0.06496148
1013	1059	1	5	0.64193381	0.07538334
1013	1059	1	6	0.65346825	0.43660661
1013	1059	1	7	0.01252545	0.02974070
1013	1059	1	8	0.18316950	0.53591779
1013	1059	1	9	0.13419467	0.04434052
1013	1059	1	10	0.62578267	0.56525983
1013	1059	1	11	0.56253037	1.08802094
1013	1059	1	12	1.45013596	1.56537334
1013	1059	1	13	0.84401035	1.65660760
1013	1059	1	14	0.36099828	0.94492042
1013	1059	1	15	1.11023137	1.02820228
1013	1059	1	16	0.17471059	0.42920327
1013	1059	1	17	1.09478756	1.81687206
1013	1059	1	18	1.28634772	1.37006126
1013	1059	1	19	0.14280386	0.25048984
1013	1059	2	0	0.25258378	1.21187721
1013	1059	2	1	0.43405653	2.02763694
1013	1059	2	2	0.82650500	0.64156777
1013	1059	2	3	0.62495695	0.73474651
1013	1059	2	4	0.83801437	0.58783415
1013	1059	2	5	1.01821227	0.68994168
1013	1059	2	6	0.88221135	0.94219200
1013	1059	2	7	0.01655526	0.03928757
1013	1059	2	8	0.12336275	0.53823623
1013	1059	2	9	0.35312315	0.17114862
1013	1059	2	10	0.70613544	1.06451746
1013	1059	2	11	0.50550999	1.34645092
1013	1059	2	12	1.88102480	2.64381893
1013	1059	2	13	0.74542937	2.05373325
1013	1059	2	14	0.29532207	1.09480471
1013	1059	2	15	1.37615294	1.87541209
1013	1059	2	16	0.19613066	0.50505955
1013	1059	2	17	1.17272920	2.71001879
1013	1059	2	18	1.63620463	2.40335589
1013	1059	2	19	0.17163827	0.31008906
1013	1059	3	0	0.17098677	1.14185519
1013	1059	3	1	0.40471174	2.21044895
1013	1059	3	2	0.96563722	1.35560901
1013	1059	3	3	0.75990211	1.14976244
1013	1059	3	4	0.99657179	1.21810699
1013	1059	3	5	1.26430528	1.45760155
1013	1059	3	6	1.00656370	1.50527386
1013	1059	3	7	0.03853092	0.05190814
1013	1059	3	8	0.13862061	0.47996553
1013	1059	3	9	0.53556155	0.49576058
1013	1059	3	10	0.73088490	1.53237644
1013	1059	3	11	0.47071271	1.47562970
1013	1059	3	12	2.19528061	3.89708165
1013	1059	3	13	0.73783344	2.24514972
1013	1059	3	14	0.26554081	1.14552566
1013	1059	3	15	1.52120254	2.77182110
1013	1059	3	16	0.22226276	0.58486464
1013	1059	3	17	1.22684807	3.58198360
1013	1059	3	18	1.92086142	3.59565582
1013	1059	3	19	0.20471605	0.37872575
1013	1059	4	0	0.15837052	1.00887626
1013	1059	4	1	0.37348524	2.34126392
1013	1059	4	2	1.03990082	2.08361445
1013	1059	4	3	0.82257603	1.58113996
1013	1059	4	4	1.06557013	1.78419783
1013	1059	4	5	1.43463258	2.19257866
1013	1059	4	6	1.05785756	2.00198683
1013	1059	4	7	0.08939440	0.08524040
1013	1059	4	8	0.22430003	0.45661675
1013	1059	4	9	0.67091106	0.94873471
1013	1059	4	10	0.75919487	1.92026157
1013	1059	4	11	0.46890710	1.53390589
1013	1059	4	12	2.39949643	5.16701897
1013	1059	4	13	0.88593068	2.37733397
1013	1059	4	14	0.23880443	1.15513329
1013	1059	4	15	1.61422782	3.58397181
1013	1059	4	16	0.22753174	0.67242109
1013	1059	4	17	1.27438635	4.41129453
1013	1059	4	18	2.19442758	4.85239232
1013	1059	4	19	0.22553748	0.45764133
1013	1059	5	0	0.20868050	0.89868052
1013	1059	5	1	0.32764988	2.42464310
1013	1059	5	2	1.07588611	2.75826761
1013	1059	5	3	0.82830251	1.95193278
1013	1059	5	4	1.07416622	2.21922960
1013	1059	5	5	1.55762925	2.83097606
1013	1059	5	6	1.05800537	2.38175219
1013	1059	5	7	0.16967298	0.16609787
1013	1059	5	8	0.35139545	0.52682668
1013	1059	5	9	0.76912057	1.46159860
1013	1059	5	10	0.80300828	2.24963432
1013	1059	5	11	0.50333419	1.57408837
1013	1059	5	12	2.50543776	6.33963162
1013	1059	5	13	1.12612640	2.62195756
1013	1059	5	14	0.20771726	1.13585799
1013	1059	5	15	1.68262319	4.28139379
1013	1059	5	16	0.21276510	0.74508047
1013	1059	5	17	1.32068480	5.19610482
1013	1059	5	18	2.47568837	6.15057320
1013	1059	5	19	0.23121733	0.53116512
1013	1059	6	0	0.30204523	0.86812924
1013	1059	6	1	0.28012292	2.45185541
1013	1059	6	2	1.09114661	3.35064258
1013	1059	6	3	0.80222137	2.22250450
1013	1059	6	4	1.04847530	2.50911654
1013	1059	6	5	1.64671009	3.36053604
1013	1059	6	6	1.02873202	2.63303519
1013	1059	6	7	0.26520450	0.31913595
1013	1059	6	8	0.48087702	0.70043896
1013	1059	6	9	0.83846187	1.98723537
1013	1059	6	10	0.85150764	2.54909528
1013	1059	6	11	0.56589509	1.63746697
1013	1059	6	12	2.53776130	7.33975436
1013	1059	6	13	1.39708262	3.04078748
1013	1059	6	14	0.17717816	1.08980201
1013	1059	6	15	1.73324034	4.86880557
1013	1059	6	16	0.19005359	0.78623827
1013	1059	6	17	1.36400118	5.94011344
1013	1059	6	18	2.75797348	7.49023824
1013	1059	6	19	0.22707153	0.58594654
1013	1059	7	0	0.41543679	0.93907554
1013	1059	7	1	0.24884336	2.42816888
1013	1059	7	2	1.09865014	3.85443756
1013	1059	7	3	0.76090686	2.38968392
1013	1059	7	4	1.01015346	2.67086605
1013	1059	7	5	1.70829902	3.78686710
1013	1059	7	6	0.98906006	2.76993286
1013	1059	7	7	0.35798836	0.55237859
1013	1059	7	8	0.58881839	0.94494553
1013	1059	7	9	0.88408395	2.49464903
1013	1059	7	10	0.88592064	2.83002570
1013	1059	7	11	0.64399108	1.74569225
1013	1059	7	12	2.52562511	8.13472631
1013	1059	7	13	1.66793739	3.61759050
1013	1059	7	14	0.15496711	1.02349676
1013	1059	7	15	1.76574707	5.35657033
1013	1059	7	16	0.17345504	0.79520506
1013	1059	7	17	1.39995910	6.64486656
1013	1059	7	18	3.01916097	8.86474954
1013	1059	7	19	0.22135556	0.61838553
1013	1059	8	0	0.53112643	1.10452727
1013	1059	8	1	0.24713444	2.37613779
1013	1059	8	2	1.10672283	4.27742322
1013	1059	8	3	0.71343825	2.46778022
1013	1059	8	4	0.97327913	2.73713119
1013	1059	8	5	1.74585890	4.11996491
1013	1059	8	6	0.95164543	2.82079001
1013	1059	8	7	0.43554005	0.85504557
1013	1059	8	8	0.66798565	1.21488217
1013	1059	8	9	0.91001571	2.96315609
1013	1059	8	10	0.89076856	3.08248701
1013	1059	8	11	0.72659321	1.90176470
1013	1059	8	12	2.49333129	8.72879980
1013	1059	8	13	1.92513069	4.30965052
1013	1059	8	14	0.14758691	0.94979436
1013	1059	8	15	1.77849427	5.75206809
1013	1059	8	16	0.17342826	0.78550807
1013	1059	8	17	1.42409096	7.30736242
1013	1059	8	18	3.23349570	10.24657330
1013	1059	8	19	0.22215052	0.63433337
1013	1059	9	0	0.63876041	1.34162482
1013	1059	9	1	0.28226154	2.32884496
1013	1059	9	2	1.11861573	4.63433420
1013	1059	9	3	0.66459204	2.47609326
1013	1059	9	4	0.94498993	2.74310379
1013	1059	9	5	1.76112360	4.36965810
1013	1059	9	6	0.92296365	2.81700673
1013	1059	9	7	0.49229271	1.20495177
1013	1059	9	8	0.71988844	1.47289312
1013	1059	9	9	0.92083442	3.37954756
1013	1059	9	10	0.85899006	3.28328651
1013	1059	9	11	0.80583868	2.09681724
1013	1059	9	12	2.45764538	9.14951959
1013	1059	9	13	2.16325318	5.07221447
1013	1059	9	14	0.15991778	0.88517834
1013	1059	9	15	1.76965711	6.05914186
1013	1059	9	16	0.19535788	0.77801772
1013	1059	9	17	1.43248423	7.92046475
1013	1059	9	18	3.37996380	11.58750615
1013	1059	9	19	0.23654525	0.64577881
1013	1059	10	0	0.73391656	1.62324018
1013	1059	10	1	0.35435697	2.32253928
1013	1059	10	2	1.13270718	4.94057328
1013	1059	10	3	0.61683578	2.43318478
1013	1059	10	4	0.92774586	2.71867647
1013	1059	10	5	1.75498472	4.54393987
1013	1059	10	6	0.90522821	2.78582310
1013	1059	10	7	0.52756234	1.57656710
1013	1059	10	8	0.74895855	1.69573837
1013	1059	10	9	0.92260440	3.73739221
1013	1059	10	10	0.79403774	3.40736151
1013	1059	10	11	0.87665384	2.31659833
1013	1059	10	12	2.42876275	9.43465557
1013	1059	10	13	2.38072426	5.86719247
1013	1059	10	14	0.19482314	0.84732969
1013	1059	10	15	1.73804370	6.27882679
