world_seed	cell_seed	converged	convergence_time	bounded	collapsed	max_expression	final_mean_expression	activation_count	repression_count	repression_ratio
1000	1020	False	-1	True	False	28.12524111189733	6.1681314160694924	10	10	0.5
1000	1021	False	-1	True	False	27.881932436042295	6.168255525714082	10	10	0.5
1000	1022	False	-1	True	False	28.29098069464137	6.153952779970863	10	10	0.5
1001	1023	False	-1	True	False	17.940356699488802	4.936711069127427	10	10	0.5
1001	1024	False	-1	True	False	17.939876554912573	5.004340093337246	10	10	0.5
1001	1025	False	-1	True	False	17.939873298522343	4.982864000784895	10	10	0.5
1002	1026	True	117	True	False	38.44689661968	6.629149525716953	10	10	0.5
1002	1027	True	100	True	False	38.42812142870095	6.629147133305063	10	10	0.5
1002	1028	True	116	True	False	38.43584689056364	6.629144228884537	10	10	0.5
1003	1029	True	117	True	False	12.09551538303965	3.9274001124759734	10	10	0.5
1003	1030	True	110	True	False	9.742118265165564	3.9273670487564645	10	10	0.5
1003	1031	True	117	True	False	11.65667406736628	3.927408478065476	10	10	0.5
1004	1032	True	67	True	False	29.463195646638283	5.664333775457141	10	10	0.5
1004	1033	True	66	True	False	29.463195647055127	5.664333775474374	10	10	0.5
1004	1034	True	67	True	False	29.46319564663955	5.6643337754416265	10	10	0.5
1005	1035	True	78	True	False	23.91792939761718	5.344288338971241	10	10	0.5
1005	1036	True	80	True	False	24.188936561640336	5.344288339535898	10	10	0.5
1005	1037	True	78	True	False	24.080956414569055	5.344288338888259	10	10	0.5
1006	1038	True	170	True	False	29.37370116108096	5.076454542731431	10	10	0.5
1006	1039	True	170	True	False	29.37355016762447	5.076482680645853	10	10	0.5
1006	1040	True	173	True	False	29.373885432592907	5.076277968036489	10	10	0.5
1007	1041	False	-1	True	False	9.691580822729415	3.1604348261347552	10	10	0.5
1007	1042	False	-1	True	False	9.764633855765599	3.146511614049401	10	10	0.5
1007	1043	False	-1	True	False	10.163007868408894	3.1449629529114054	10	10	0.5
1008	1044	True	75	True	False	30.696530596328742	4.485721855958538	10	10	0.5
1008	1045	True	80	True	False	30.7376799215999	4.485722270776611	10	10	0.5
1008	1046	True	76	True	False	30.723598701375117	4.485721982792625	10	10	0.5
1009	1047	True	56	True	False	12.509832475270503	3.6780265512931294	10	10	0.5
1009	1048	True	58	True	False	12.345706889814485	3.678026551244719	10	10	0.5
1009	1049	True	56	True	False	12.33333071166322	3.6780265512997223	10	10	0.5
1010	1050	False	-1	True	False	27.371619512289918	4.40219445702323	10	10	0.5
1010	1051	False	-1	True	False	29.416010179647728	4.400455383721524	10	10	0.5
1010	1052	False	-1	True	False	25.816812581006623	4.4053113689952905	10	10	0.5
1011	1053	True	108	True	False	14.60110455652562	4.6127384319204126	10	10	0.5
1011	1054	True	108	True	False	14.620054573470691	4.612737223599129	10	10	0.5
1011	1055	True	105	True	False	14.588729946723744	4.612734154496848	10	10	0.5
1012	1056	True	124	True	False	19.20445547863349	4.491464332713404	10	10	0.5
1012	1057	True	125	True	False	19.097970705995895	4.49146424917758	10	10	0.5
1012	1058	True	125	True	False	18.997096504132173	4.4914641956786125	10	10	0.5
1013	1059	False	-1	True	False	25.16917700387419	5.81300732297491	10	10	0.5
1013	1060	False	-1	True	False	25.111592324421714	5.820451499466671	10	10	0.5
1013	1061	False	-1	True	False	25.131079115358894	5.788814352174303	10	10	0.5
1014	1062	False	-1	True	False	16.20185012349613	3.719400522831763	10	10	0.5
1014	1063	False	-1	True	False	18.82873917478083	3.719048039700605	10	10	0.5
1014	1064	False	-1	True	False	16.244616856793197	3.7375405785144777	10	10	0.5
1015	1065	True	99	True	False	28.00187005892833	5.320761995426338	10	10	0.5
1015	1066	True	100	True	False	28.03876845035424	5.320762101573857	10	10	0.5
1015	1067	True	101	True	False	27.992237053446793	5.320762171191549	10	10	0.5
1016	1068	True	68	True	False	15.60784243941923	4.256223712541589	10	10	0.5
1016	1069	True	66	True	False	15.606191852380528	4.256223713066424	10	10	0.5
1016	1070	True	69	True	False	15.608436816335843	4.25622371240678	10	10	0.5
1017	1071	True	79	True	False	17.399339154907366	4.796174945507358	10	10	0.5
1017	1072	True	79	True	False	17.39663059154197	4.7961749348563	10	10	0.5
1017	1073	True	78	True	False	17.400317152467686	4.79617493652758	10	10	0.5
1018	1074	True	72	True	False	6.917407871583373	2.463674900269054	10	10	0.5
1018	1075	True	75	True	False	8.94519352279151	2.463674887912787	10	10	0.5
1018	1076	True	73	True	False	8.333010175409914	2.463674912305331	10	10	0.5
1019	1077	True	100	True	False	21.589213993518193	5.438593278514988	10	10	0.5
1019	1078	True	101	True	False	21.02398666021596	5.438595086919892	10	10	0.5
1019	1079	True	102	True	False	21.660008756086608	5.438595454195412	10	10	0.5
