seed	regime	gene_id	time	expression
546	collapse	0	0	0.038121961095989636
546	collapse	0	1	0.03793916940301069
546	collapse	0	2	0.04941686797846371
546	collapse	0	3	0.057021705339383985
546	collapse	0	4	0.05751494329177215
546	collapse	0	5	0.055965543753289305
546	collapse	0	6	0.050480520231888475
546	collapse	0	7	0.04347089293990087
546	collapse	0	8	0.037097328207289025
546	collapse	0	9	0.031835728302870556
546	collapse	0	10	0.02756893517612573
546	collapse	0	11	0.024087461228388098
546	collapse	0	12	0.02120943421492563
546	collapse	0	13	0.01879699214175638
546	collapse	0	14	0.01674826866259915
546	collapse	0	15	0.014985058619152449
546	collapse	0	16	0.01344646863964553
546	collapse	0	17	0.012087179660340994
546	collapse	0	18	0.01087563772443763
546	collapse	0	19	0.009791396500896003
546	collapse	0	20	0.008821877329506476
546	collapse	0	21	0.007958707323081873
546	collapse	0	22	0.007194350210133904
546	collapse	0	23	0.006519993308631077
546	collapse	0	24	0.0059251291208047355
546	collapse	0	25	0.005398412168809622
546	collapse	0	26	0.004928899209608321
546	collapse	0	27	0.0045069693112296015
546	collapse	0	28	0.004124706844994675
546	collapse	0	29	0.0037758695006533355
546	collapse	0	30	0.0034556475166420547
546	collapse	0	31	0.0031603671954647254
546	collapse	0	32	0.0028872171818263947
546	collapse	0	33	0.0026340248832830734
546	collapse	0	34	0.00239908478540432
546	collapse	0	35	0.002181030704733737
546	collapse	0	36	0.001978742051715111
546	collapse	0	37	0.0017912752474708313
546	collapse	0	38	0.0016178133404136379
546	collapse	0	39	0.0014576287134106343
546	collapse	0	40	0.0013100552782819384
546	collapse	0	41	0.00117446768538174
546	collapse	0	42	0.0010502658794041624
546	collapse	0	43	0.0009368638754945673
546	collapse	0	44	0.0008336819765343107
546	collapse	0	45	0.0007401418585813029
546	collapse	0	46	0.0006556640629018879
546	collapse	0	47	0.0005796674868961567
546	collapse	0	48	0.0005115704910877185
546	collapse	0	49	0.00045079325561729453
546	collapse	0	50	0.00039676103994031557
546	collapse	0	51	0.000348908029189753
546	collapse	0	52	0.0003066814895260329
546	collapse	0	53	0.00026954599812505103
546	collapse	0	54	0.00023698755455809408
546	collapse	0	55	0.00020851741297502952
546	collapse	0	56	0.00018367549553025431
546	collapse	0	57	0.000162033258604483
546	collapse	0	58	0.00014319589140831548
546	collapse	0	59	0.00012680374135775566
546	collapse	0	60	0.00011253289095871868
546	collapse	0	61	0.00010009486007726578
546	collapse	0	62	8.923547070728609e-05
546	collapse	0	63	7.973297720561133e-05
546	collapse	0	64	7.139561956864886e-05
546	collapse	0	65	6.40587896968751e-05
546	collapse	0	66	5.680181258784193e-05
546	collapse	0	67	4.9549279462669385e-05
546	collapse	0	68	4.26938970525126e-05
546	collapse	0	69	3.643928147411663e-05
546	collapse	0	70	3.0869523332317543e-05
546	collapse	0	71	2.599558784921522e-05
546	collapse	0	72	2.1785904871478588e-05
546	collapse	0	73	1.8186227110806312e-05
546	collapse	0	74	1.5132253051947234e-05
546	collapse	0	75	1.255741346473332e-05
546	collapse	0	76	1.0397460497661662e-05
