time	gene_0	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7	gene_8	gene_9	gene_10	gene_11	gene_12	gene_13	gene_14	gene_15	gene_16	gene_17	gene_18	gene_19	gene_20	gene_21	gene_22	gene_23	gene_24	gene_25	gene_26	gene_27	gene_28	gene_29	gene_30	gene_31	gene_32	gene_33	gene_34	gene_35	gene_36	gene_37	gene_38	gene_39	gene_40	gene_41	gene_42	gene_43	gene_44	gene_45	gene_46	gene_47	gene_48	gene_49
0	0.23899695256806705	0.7697659926582068	0.36350039789311434	0.3704263174202729	0.27067537293822375	0.1724852264570368	0.40785221302493574	0.8659587600158964	0.5280724399075915	0.5099503223133492	0.1319958181301569	0.1390486349026	0.344946347703629	0.5717409552401048	0.23388526680723543	0.761241559828255	0.04915689898089832	0.24772405127006797	0.684875313520151	0.37783573199745163	0.5662751182656968	0.5275375899956599	0.3044541705722762	0.5504974575266153	0.61086330541524	0.6998225198240582	0.1088230353417072	0.8650155335933637	0.731874908763907	0.36494882977937937	0.5899821679164414	0.37375340700147675	0.5819911170605748	0.2431111355187474	0.36391796711267627	0.6245221286340347	0.18472855035732644	0.7623748602937052	0.5888887311138655	0.48629314453723793	0.8746496640209914	0.6033097964871308	0.13503784167828445	0.10975530650361116	0.31671770344849776	0.40179140755115406	0.8812946814608684	0.4830312575831939	0.35298254523708245	0.39098384736105435
1	0.24848624023019453	0.7529238791145338	0.37016245978873535	0.3607593244881108	0.26495145626938343	0.18913743144677084	0.41454070541969007	0.8617599700318999	0.5187772069208583	0.47522596492028346	0.13159793540016845	0.13402001041628078	0.3325863176074504	0.5685876506054496	0.23525606055521595	0.7556850332982553	0.05100283621311693	0.234501635103562	0.689335576444211	0.382295130226287	0.5654214141620592	0.5126245455137298	0.31231837236157084	0.5667138676993977	0.6162040120436072	0.6974816023079797	0.10183417988640683	0.8664961564086552	0.7346024477459862	0.3441113028259069	0.5878638821932983	0.3779228610277164	0.5786459495712675	0.24783206434648117	0.36140975790437113	0.641086552108362	0.17895368548639132	0.784009309736561	0.6182903765062963	0.48134846504561213	0.8733832882101811	0.6120682081020967	0.13930845429710303	0.11426629058849773	0.3093591057610722	0.3870149892563285	0.8801078973723354	0.4931607911989527	0.3520437505045282	0.39486231833836377
2	0.2484012872668963	0.7522056544457218	0.37010804321680524	0.36024725677208874	0.26479117542044167	0.18990520720350804	0.4149208362202176	0.8615954514838655	0.5188828112073066	0.4738594480163798	0.1315877946070595	0.13408552138248359	0.33207037457607397	0.5685693285037698	0.23574746680912723	0.7555547399260544	0.051077343313632236	0.2338881199656236	0.6895147119315719	0.38216726238736803	0.5653295026702758	0.5120751563150363	0.3126918046658939	0.5671188047954661	0.6162918947397766	0.6975157354849433	0.10152105816131113	0.8662802404859811	0.7345790680921601	0.3432678585521528	0.5879101606259053	0.37790905581183565	0.5786804520529895	0.24833191916336217	0.36143568250400554	0.6418247349708553	0.17868338817941506	0.7849827258935472	0.619495223960216	0.48142547706021765	0.8733990882095397	0.6124849271934305	0.13947275253227234	0.11422789545348873	0.3095385104110435	0.3863373571689897	0.8799896038395195	0.49311243523869547	0.3520107007918364	0.3948775694954787
3	0.24288056727497181	0.7600125609103694	0.3661838843454308	0.3645058518770763	0.26695020065731867	0.1818535067100369	0.4112766521976084	0.8634564310315627	0.5239485373230421	0.49041429428794553	0.1317322611617682	0.1366792079783944	0.3377210632621283	0.5710175942700559	0.23619412638714204	0.7584441419095519	0.05024632014746244	0.24029153675669654	0.68751592682524	0.379273013339256	0.565590122143588	0.5192941168180945	0.30883196320280365	0.5588124372292859	0.6146334293800212	0.698691236956395	0.10483886621495044	0.8648788051117063	0.73299395977622	0.35263769809146156	0.5887650494461777	0.37518287919344273	0.5805510205501441	0.24685261225884494	0.3628350740509339	0.6342007837465392	0.18149395201122467	0.7746869827132419	0.6057342835647898	0.48383678827800125	0.8740719493016516	0.6081822217597718	0.13759734389794784	0.11157016523405652	0.3142262238191145	0.3934484485591213	0.8809294690974828	0.4866937288197777	0.353112146264593	0.3919639721368058
4	0.24079754743217274	0.7633297449425698	0.36468729418461854	0.36641418637380024	0.2678492069041552	0.17843901876351767	0.4096589734589297	0.8642473106828129	0.5258542456976351	0.49751820568190464	0.131791628239926	0.13765579697106659	0.34017769652498175	0.5719989028538558	0.23613557085918033	0.7596242565905332	0.049893308913068396	0.24312825051916287	0.6866537316325444	0.3782080531706372	0.5657350569348084	0.5223634511904328	0.30715355106187014	0.5553751101237366	0.6139802316661338	0.6991246827023219	0.1063156459100888	0.8644328540787716	0.7323872764963189	0.3567123523550384	0.5890618439217928	0.37412113333047864	0.5812585071263636	0.24604300382340807	0.3633652773261343	0.6308592627345562	0.18273361852597952	0.7700842513251346	0.5997474538413311	0.4847212591972785	0.8743229269361125	0.6062941567004855	0.1368017985837332	0.11056884964471403	0.31597692472358113	0.39656409308166013	0.8813653907263329	0.48420382346454527	0.35357625956063193	0.390802868784281
5	0.24096759513181618	0.7657628879675383	0.36482285816479115	0.36813838660909776	0.2686962328344091	0.17605480977383067	0.4087007840463499	0.8648586630793702	0.5257643905625045	0.5021192647291042	0.13185061310886562	0.13763854969028627	0.34198453509556537	0.5717880885428837	0.23451616954100266	0.7600628101463025	0.04962527836091799	0.24506060229096346	0.686001795835031	0.37861499368911444	0.5660396372841878	0.5242082753697376	0.3060174699462186	0.553990947470252	0.6131812928795483	0.6991270181845542	0.10734256531861697	0.8651462610295068	0.7324388076917223	0.3597664102030913	0.5891154182622867	0.374273163779398	0.5812144730970353	0.24439869351103072	0.3633326178685656	0.6283519969240606	0.1835750566008136	0.7668997693449935	0.5956267782017174	0.48474320069560656	0.8743152245231753	0.6050233328261172	0.13617946382400614	0.11065648021212765	0.31540032876902846	0.3987139893410374	0.8815270898897339	0.4845240801937709	0.35342107120217664	0.39103767010784046
6	0.24132804182314682	0.7671902692822651	0.3650935577292053	0.3692015956663878	0.26923801773482153	0.1746845784098172	0.40818976162692516	0.865224826730611	0.5254911435753844	0.5047226981441253	0.1318888554489739	0.13752314048114922	0.3430491243938429	0.5715052083773942	0.23332520491290548	0.7602535411804238	0.04946586605024816	0.24616433005347282	0.6856137617990495	0.37903924427420815	0.566249208198086	0.525226809962565	0.30537151573635196	0.5533566574103698	0.6126377214925038	0.6990845527321927	0.10793487649090443	0.8657247170532854	0.7325456300393118	0.3615797696319169	0.5891312325534056	0.37451349978693577	0.5811038096732969	0.2432742661560051	0.3632499606599825	0.6268705547463961	0.18405472001460554	0.7650666035674258	0.5932487164772451	0.4846713461164778	0.8742828209214538	0.6043019953234785	0.13580513731558536	0.11083479945335857	0.31477217739356456	0.39994777602533743	0.8815859946697278	0.48505636112324235	0.35323939047272107	0.39135974394115436
7	0.2415473494507446	0.7680497167600915	0.36526131371642184	0.36983903468599916	0.26959300433208744	0.17387705914295418	0.40791682724678674	0.8654499812058005	0.5253408235337246	0.5062722382033685	0.13191423592022217	0.1374680434352574	0.3436907051126012	0.5713020072125677	0.23260549788340293	0.7603643818359171	0.049368523148232105	0.24680547684364976	0.6853771771635432	0.3793008167562202	0.5663756602068619	0.5258318195055172	0.304996977749419	0.5529859189064212	0.6122615657577803	0.6990677714981013	0.10828241129342964	0.8660761495835053	0.7326109969295191	0.3626813245497022	0.5891594579561678	0.37467522242261103	0.5810398441609194	0.24259754801537556	0.3632022843958737	0.6259848609942701	0.18433293919770374	0.7639940606549831	0.5918292635706303	0.48465021456635843	0.8742661847532887	0.603885233868176	0.13557393402422926	0.1109447576013294	0.31438466437714296	0.4006696556092699	0.8815974786053066	0.485407813214377	0.35310096281440256	0.39158902615701485
8	0.2416736541177563	0.768593489829735	0.3653608169056067	0.3702366721399518	0.2698376710682134	0.1733781266390351	0.4077692029282149	0.8655956517982846	0.5252689578055142	0.5072421392059517	0.1319319452913594	0.13745027783010733	0.34409609025142085	0.5711560612931399	0.23216094621766634	0.7604348141834298	0.049305999543529155	0.24719312120711773	0.6852256882242881	0.37946096438945653	0.5664541149822696	0.5262109652497385	0.3047705597611247	0.5527510292497224	0.6119891354029278	0.6990664978968297	0.10849492446387812	0.8662924616748384	0.7326490278802319	0.3633833820357919	0.5891929777409776	0.37478279428165057	0.5810060978184375	0.24217826924847555	0.3631772261008607	0.6254311310427627	0.18450093262308634	0.763340664182283	0.590940706009113	0.4846589792842183	0.8742594535344457	0.6036346223182693	0.13542363185945266	0.11100942433804799	0.31414786140736795	0.4011103899227924	0.8815876244824004	0.4856359723670763	0.35299530808435226	0.39175206843533183
9	0.24174383815828307	0.7689493707135824	0.3654188419179024	0.3704914776038185	0.2700136189853683	0.1730609609072655	0.40769274341737	0.8656935024770779	0.5252428146094246	0.5078684545933325	0.1319448420317901	0.1374535087118814	0.34436052950246343	0.5710477670383415	0.2318808401088911	0.7604816664710605	0.04926434807237402	0.24743184906926047	0.6851252412263173	0.37955972751060246	0.5665038813281419	0.5264563981521654	0.30463094350763587	0.5525957334694972	0.611783513218783	0.6990736696174407	0.10862772364681823	0.8664277747065705	0.7326705361339392	0.36384609813049024	0.5892278252910201	0.37485614843600534	0.5809902409604278	0.2419124991348779	0.3631655468018008	0.6250748058796315	0.18460424116032917	0.7629344734449705	0.5903675487843218	0.48468351125221015	0.8742583880803065	0.6034813009720928	0.13532210847385043	0.11104660899703253	0.3140022520584761	0.40138558705259086	0.881567482002072	0.48578700025222604	0.35291221447117865	0.39187181341514077
