world_seed	cell_seed	converged	convergence_time	bounded	collapsed	max_expression	final_mean_expression	activation_count	repression_count	repression_ratio
1000	1020	False	-1	True	False	56.12274696793335	9.605288332284562	10	10	0.5
1000	1021	False	-1	True	False	55.65125622874466	9.57408108087627	10	10	0.5
1000	1022	False	-1	True	False	56.348899598127424	9.653692807711472	10	10	0.5
1001	1023	False	-1	True	False	30.033162075267633	7.888713830718996	10	10	0.5
1001	1024	False	-1	True	False	30.03479128353186	7.7543695425091785	10	10	0.5
1001	1025	False	-1	True	False	30.034132608530513	7.80098966515632	10	10	0.5
1002	1026	False	-1	True	False	62.51671883059684	10.21764139003531	10	10	0.5
1002	1027	False	-1	True	False	62.31200434049234	10.211721143283382	10	10	0.5
1002	1028	False	-1	True	False	62.44963145042895	10.215993011574636	10	10	0.5
1003	1029	True	150	True	False	15.16708031125976	5.458930317090003	10	10	0.5
1003	1030	True	143	True	False	13.410091518407489	5.459522090951625	10	10	0.5
1003	1031	True	150	True	False	14.613413746976564	5.458907052841292	10	10	0.5
1004	1032	True	93	True	False	46.90018255397387	8.418968075263466	10	10	0.5
1004	1033	True	92	True	False	46.90018256130295	8.41896725594074	10	10	0.5
1004	1034	True	91	True	False	46.900182555400825	8.418966796892615	10	10	0.5
1005	1035	True	98	True	False	36.72590479774218	8.104593570679453	10	10	0.5
1005	1036	True	104	True	False	36.72592795547845	8.104605084411276	10	10	0.5
1005	1037	True	100	True	False	36.72592057003948	8.104598159354547	10	10	0.5
1006	1038	False	-1	True	False	49.053446198437975	7.3534784469742505	10	10	0.5
1006	1039	False	-1	True	False	49.053412025707814	7.3501682688609336	10	10	0.5
1006	1040	False	-1	True	False	49.05353637586748	7.3639069649292725	10	10	0.5
1007	1041	False	-1	True	False	15.281241998463923	4.7198674896366555	10	10	0.5
1007	1042	False	-1	True	False	15.350473893749008	4.657397059285147	10	10	0.5
1007	1043	False	-1	True	False	15.416018731304574	4.621401191948972	10	10	0.5
1008	1044	True	120	True	False	48.1880377808181	6.542264767035961	10	10	0.5
1008	1045	True	124	True	False	48.25689885444059	6.542283296971846	10	10	0.5
1008	1046	True	124	True	False	48.3622983486952	6.542287004657131	10	10	0.5
1009	1047	True	93	True	False	17.884322951036765	5.563616998007099	10	10	0.5
1009	1048	True	92	True	False	17.644270726573914	5.563618261119935	10	10	0.5
1009	1049	True	91	True	False	17.644290481353902	5.563619259793359	10	10	0.5
1010	1050	False	-1	True	False	39.00011270311041	6.502981120040523	10	10	0.5
1010	1051	False	-1	True	False	44.41897208430522	6.525793293050334	10	10	0.5
1010	1052	False	-1	True	False	35.483801541358595	6.476922137529646	10	10	0.5
1011	1053	True	135	True	False	21.491020284008872	6.374825319710231	10	10	0.5
1011	1054	True	137	True	False	21.514598108371825	6.374814187920833	10	10	0.5
1011	1055	True	131	True	False	21.486000653032153	6.374829378388772	10	10	0.5
1012	1056	False	-1	True	False	35.9041676174798	6.538530425012416	10	10	0.5
1012	1057	False	-1	True	False	35.54392683063064	6.539526810254381	10	10	0.5
1012	1058	False	-1	True	False	35.25519127359016	6.540351347837155	10	10	0.5
1013	1059	False	-1	True	False	44.229238881091185	9.283760013492573	10	10	0.5
1013	1060	False	-1	True	False	43.66255483465132	9.307520325983713	10	10	0.5
1013	1061	False	-1	True	False	44.15979120169717	9.307331220002377	10	10	0.5
1014	1062	False	-1	True	False	22.70814456195039	5.573784663934033	10	10	0.5
1014	1063	False	-1	True	False	28.315300557337686	5.619573791826477	10	10	0.5
1014	1064	False	-1	True	False	23.515186243420494	5.557946398251376	10	10	0.5
1015	1065	True	185	True	False	50.3309777619766	8.177286343712629	10	10	0.5
1015	1066	True	187	True	False	50.44337039524787	8.177103973028997	10	10	0.5
1015	1067	True	168	True	False	50.231694631996106	8.177077212535794	10	10	0.5
1016	1068	True	95	True	False	23.206696453164465	6.163118892273577	10	10	0.5
1016	1069	True	94	True	False	23.205278102053242	6.163118770387274	10	10	0.5
1016	1070	True	96	True	False	23.208720548139638	6.163118906919261	10	10	0.5
1017	1071	True	105	True	False	29.42009633817394	7.402969976136703	10	10	0.5
1017	1072	True	104	True	False	29.42018090085493	7.4029693065549385	10	10	0.5
1017	1073	True	104	True	False	29.42020093956199	7.402966682432842	10	10	0.5
1018	1074	True	91	True	False	10.450609182278331	3.682857355121201	10	10	0.5
1018	1075	True	96	True	False	10.698054855246967	3.682871422643623	10	10	0.5
1018	1076	True	94	True	False	10.536424037802831	3.6828616020625033	10	10	0.5
1019	1077	True	129	True	False	48.34767896216243	8.805626916086602	10	10	0.5
1019	1078	True	128	True	False	47.10492368062235	8.805625571980931	10	10	0.5
1019	1079	True	131	True	False	48.45104064115768	8.805637410924827	10	10	0.5
