world_seed	cell_seed	time	gene_id	X	P
1011	1054	0	0	0.13603722	0.13603722
1011	1054	0	1	0.08384500	0.08384500
1011	1054	0	2	0.22623859	0.22623859
1011	1054	0	3	0.19502970	0.19502970
1011	1054	0	4	0.24607062	0.24607062
1011	1054	0	5	0.07833138	0.07833138
1011	1054	0	6	0.17688890	0.17688890
1011	1054	0	7	0.47253955	0.47253955
1011	1054	0	8	0.90264491	0.90264491
1011	1054	0	9	0.46661967	0.46661967
1011	1054	0	10	0.69685627	0.69685627
1011	1054	0	11	0.31946719	0.31946719
1011	1054	0	12	0.83810744	0.83810744
1011	1054	0	13	0.00962035	0.00962035
1011	1054	0	14	0.05502792	0.05502792
1011	1054	0	15	0.59245451	0.59245451
1011	1054	0	16	0.20413303	0.20413303
1011	1054	0	17	0.80384132	0.80384132
1011	1054	0	18	0.27641864	0.27641864
1011	1054	0	19	0.93698979	0.93698979
1011	1054	1	0	0.11871995	0.23805921
1011	1054	1	1	0.05581447	0.14241718
1011	1054	1	2	0.83301662	0.42491490
1011	1054	1	3	1.73570009	0.33393643
1011	1054	1	4	1.95173694	0.41710914
1011	1054	1	5	1.62124769	0.14856132
1011	1054	1	6	0.85755856	0.28857921
1011	1054	1	7	0.38943739	0.79331612
1011	1054	1	8	0.73382813	1.57437286
1011	1054	1	9	0.37379906	0.78743787
1011	1054	1	10	1.31366230	1.14355641
1011	1054	1	11	0.24011227	0.52716972
1011	1054	1	12	2.34649286	1.35843177
1011	1054	1	13	0.00968902	0.01564392
1011	1054	1	14	0.04997374	0.09657505
1011	1054	1	15	1.85336508	0.97303576
1011	1054	1	16	0.13009476	0.35795657
1011	1054	1	17	1.91021350	1.47354907
1011	1054	1	18	1.14087606	0.48559613
1011	1054	1	19	0.82357811	1.54502132
1011	1054	2	0	0.12416914	0.29725400
1011	1054	2	1	0.04422314	0.15530383
1011	1054	2	2	1.33672692	1.20616481
1011	1054	2	3	2.64177714	1.97354087
1011	1054	2	4	3.30340001	2.24166073
1011	1054	2	5	2.70901756	1.75444403
1011	1054	2	6	1.37485829	1.03977181
1011	1054	2	7	0.34531826	0.92796845
1011	1054	2	8	0.64515664	1.90544082
1011	1054	2	9	0.30037635	0.91519157
1011	1054	2	10	1.73362519	2.04670702
1011	1054	2	11	0.20305016	0.58285322
1011	1054	2	12	3.47606558	3.18985143
1011	1054	2	13	0.02160082	0.01948412
1011	1054	2	14	0.05702669	0.12288975
1011	1054	2	15	2.88212052	2.47842432
1011	1054	2	16	0.08551905	0.39983135
1011	1054	2	17	2.46846890	3.13787770
1011	1054	2	18	1.79911758	1.50834686
1011	1054	2	19	0.73057513	1.82617352
1011	1054	3	0	0.30016889	0.34709669
1011	1054	3	1	0.04193480	0.15271482
1011	1054	3	2	1.75520774	2.39594662
1011	1054	3	3	3.04031219	4.04739951
1011	1054	3	4	3.83544842	4.86153123
1011	1054	3	5	3.47521409	4.28200794
1011	1054	3	6	1.62431021	2.03138584
1011	1054	3	7	1.00210450	0.97525609
1011	1054	3	8	1.28169280	2.06314263
1011	1054	3	9	0.24187383	0.92960424
1011	1054	3	10	2.01816922	3.04560925
1011	1054	3	11	0.79338028	0.58199390
1011	1054	3	12	4.03607912	5.45642898
1011	1054	3	13	0.13697530	0.03380039
1011	1054	3	14	0.07187851	0.14981079
1011	1054	3	15	3.72142704	4.47421207
1011	1054	3	16	0.05918146	0.38681021
1011	1054	3	17	2.74499610	5.08274230
1011	1054	3	18	2.30014988	2.94054642
1011	1054	3	19	0.65433243	1.91561586
1011	1054	4	0	0.83289788	0.56047629
1011	1054	4	1	0.04555287	0.14861786
1011	1054	4	2	2.10306398	3.85926004
1011	1054	4	3	2.94058932	5.92300663
1011	1054	4	4	3.65484757	7.21459651
1011	1054	4	5	4.01346019	7.31435469
1011	1054	4	6	1.58514117	2.90695776
1011	1054	4	7	2.13674939	1.66414286
1011	1054	4	8	2.01638737	2.81703691
1011	1054	4	9	0.19501420	0.88101095
1011	1054	4	10	2.20822276	3.97047149
1011	1054	4	11	1.75700353	1.17176534
1011	1054	4	12	3.94794431	7.42360751
1011	1054	4	13	0.48367290	0.15813869
1011	1054	4	14	0.09306792	0.18498851
1011	1054	4	15	4.40559470	6.59557380
1011	1054	4	16	0.04438970	0.35066059
1011	1054	4	17	2.87518425	6.97960280
1011	1054	4	18	2.68092736	4.52538373
1011	1054	4	19	0.59279977	1.89741410
1011	1054	5	0	1.67274046	1.25323070
1011	1054	5	1	0.07780874	0.14937388
1011	1054	5	2	2.39224092	5.49215659
1011	1054	5	3	2.50973417	7.15915440
1011	1054	5	4	3.25854204	8.66956184
1011	1054	5	5	4.36663374	10.57132660
1011	1054	5	6	1.42658044	3.42063800
1011	1054	5	7	3.26037365	3.26642846
1011	1054	5	8	2.64734987	4.11276256
1011	1054	5	9	0.15744243	0.80074166
1011	1054	5	10	2.29252679	4.75338199
1011	1054	5	11	2.64032615	2.51883023
1011	1054	5	12	3.56382837	8.55676103
1011	1054	5	13	1.03779853	0.58268806
1011	1054	5	14	0.16356556	0.23273777
1011	1054	5	15	4.94784856	8.64246296
1011	1054	5	16	0.04609811	0.30862844
1011	1054	5	17	2.86634991	8.69013041
1011	1054	5	18	2.95784148	6.10547355
1011	1054	5	19	0.56969662	1.82406994
1011	1054	6	0	2.63579352	2.61260892
1011	1054	6	1	0.27250940	0.18215789
1011	1054	6	2	2.63257934	7.21529691
1011	1054	6	3	1.98509453	7.60872540
1011	1054	6	4	2.85125050	9.28457211
1011	1054	6	5	4.45572798	13.84461924
1011	1054	6	6	1.25286127	3.58642269
1011	1054	6	7	4.23132460	5.47774090
1011	1054	6	8	3.15911630	5.70797480
1011	1054	6	9	0.12739495	0.70798179
1011	1054	6	10	2.13960887	5.33954881
1011	1054	6	11	3.33917871	4.27795107
1011	1054	6	12	3.13741197	8.87614361
1011	1054	6	13	1.64310772	1.40263621
1011	1054	6	14	0.50093385	0.33928701
1011	1054	6	15	5.28618563	10.49959858
1011	1054	6	16	0.11413410	0.27866371
1011	1054	6	17	2.51163384	10.10639521
1011	1054	6	18	3.08660042	7.57810739
1011	1054	6	19	0.72177605	1.75337230
1011	1054	7	0	3.58597946	4.59513647
1011	1054	7	1	0.87819689	0.39976070
1011	1054	7	2	2.83183521	8.96884825
1011	1054	7	3	1.50792500	7.40428538
1011	1054	7	4	2.50066379	9.30476127
1011	1054	7	5	4.10108231	16.86846532
1011	1054	7	6	1.10517651	3.51738247
1011	1054	7	7	5.02656123	7.94980901
1011	1054	7	8	3.56540236	7.40686212
1011	1054	7	9	0.10404487	0.61415848
1011	1054	7	10	1.74117533	5.56237667
1011	1054	7	11	3.85826918	6.12050124
1011	1054	7	12	2.77673462	8.64801030
1011	1054	7	13	2.17609017	2.52133840
1011	1054	7	14	1.35362579	0.75710200
1011	1054	7	15	5.25706987	12.03092344
1011	1054	7	16	0.36965926	0.32411991
1011	1054	7	17	1.79965422	10.93161786
1011	1054	7	18	2.95690373	8.82126963
1011	1054	7	19	1.27915979	1.85957461
1011	1054	8	0	4.45724026	7.03213175
1011	1054	8	1	1.80859838	1.15746051
1011	1054	8	2	2.99166744	10.70802312
1011	1054	8	3	1.12494158	6.78150677
1011	1054	8	4	2.23006964	8.96820762
1011	1054	8	5	3.42064625	19.22492397
1011	1054	8	6	0.99862554	3.32610468
1011	1054	8	7	5.65378614	10.42317295
1011	1054	8	8	3.88304096	9.07742172
1011	1054	8	9	0.09334395	0.52630143
