world_seed	cell_seed	time	gene_id	X	P
1005	1037	0	0	0.45795804	0.45795804
1005	1037	0	1	0.54198655	0.54198655
1005	1037	0	2	0.94833347	0.94833347
1005	1037	0	3	0.55262945	0.55262945
1005	1037	0	4	0.98842485	0.98842485
1005	1037	0	5	0.35303583	0.35303583
1005	1037	0	6	0.81038623	0.81038623
1005	1037	0	7	0.10345532	0.10345532
1005	1037	0	8	0.94290248	0.94290248
1005	1037	0	9	0.86831268	0.86831268
1005	1037	0	10	0.85208110	0.85208110
1005	1037	0	11	0.35877324	0.35877324
1005	1037	0	12	0.31240802	0.31240802
1005	1037	0	13	0.36923469	0.36923469
1005	1037	0	14	0.89726287	0.89726287
1005	1037	0	15	0.38982592	0.38982592
1005	1037	0	16	0.35207025	0.35207025
1005	1037	0	17	0.05186586	0.05186586
1005	1037	0	18	0.94618692	0.94618692
1005	1037	0	19	0.86243513	0.86243513
1005	1037	1	0	0.45589697	0.73394879
1005	1037	1	1	0.38046635	0.87325932
1005	1037	1	2	2.08283486	1.76280898
1005	1037	1	3	1.42174001	0.97840076
1005	1037	1	4	2.07305309	1.61222798
1005	1037	1	5	1.74534087	0.66802810
1005	1037	1	6	1.29215209	1.51232954
1005	1037	1	7	0.08953779	0.17443607
1005	1037	1	8	0.83761999	1.67420270
1005	1037	1	9	0.53840845	1.64133856
1005	1037	1	10	1.48906824	1.52661572
1005	1037	1	11	0.25290835	0.59915351
1005	1037	1	12	1.31081410	0.51369594
1005	1037	1	13	0.50293283	0.66941361
1005	1037	1	14	0.82995461	1.62248347
1005	1037	1	15	1.43712853	0.73447128
1005	1037	1	16	0.31335562	0.59046460
1005	1037	1	17	1.23332368	0.09584972
1005	1037	1	18	2.20378974	1.52799269
1005	1037	1	19	0.76556108	1.56514674
1005	1037	2	0	0.54348752	0.89821494
1005	1037	2	1	0.27553176	0.91421951
1005	1037	2	2	2.99385371	3.59682208
1005	1037	2	3	1.81832527	2.17554523
