time	gene_0	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7	gene_8	gene_9	gene_10	gene_11	gene_12	gene_13	gene_14	gene_15	gene_16	gene_17	gene_18	gene_19	gene_20	gene_21	gene_22	gene_23	gene_24	gene_25	gene_26	gene_27	gene_28	gene_29	gene_30	gene_31	gene_32	gene_33	gene_34	gene_35	gene_36	gene_37	gene_38	gene_39	gene_40	gene_41	gene_42	gene_43	gene_44	gene_45	gene_46	gene_47	gene_48	gene_49
0	0.700805754432847	0.64189432590773	0.9227797276871044	0.858935092879777	0.7956454807567506	0.929569989429825	0.38678769499367105	0.9140773588129641	0.5638754663069208	0.5722228521525669	0.9815371058058049	0.8215000757422222	0.770849303420442	0.6570219111183672	0.5588230635397059	0.6396177400380771	0.8552873478117513	0.6316690575426177	0.1591955063093209	0.380591818264877	0.6488975489288622	0.29923582161373463	0.6556109205507257	0.015004428208829412	0.6728280939318004	0.1390337538735501	0.5558911974811577	0.374833053467602	0.05440439368622718	0.510296731525818	0.101650742605646	0.4652944133857897	0.15275874961872937	0.7032625194989391	0.5338165606510211	0.9846411044008148	0.3877070731908261	0.8510472626579179	0.08288723090899575	0.8470736843034791	0.006595264734583939	0.5146550356883425	0.06262123595346347	0.011569190310893651	0.25421007558329634	0.5439233084921095	0.7880668649323783	0.4173250007571023	0.6418248133212199	0.6655622211873795
1	0.025728756562500545	0.02355588199275551	0.037212769001901194	0.032660484824533896	0.028867623691584646	0.01708148604726469	0.014409806144760264	0.03464241220524434	0.021993585048973117	0.021837038416659557	0.03916527858287338	0.02984103485227424	0.029742238675160817	0.025496072230751093	0.021622465974799995	0.025732456763257784	0.03398766926620613	0.024973713313569044	0.005660264432739648	0.014191265731504655	0.024192755802341287	0.011577429045213854	0.025120625444011134	0.0005940589684099831	0.026065156824249796	0.005267573766136223	0.022400025407806064	0.014241601008576145	0.0022066013134032143	0.018990354414075938	0.00360641195674165	0.0166739465410746	0.005684788552716682	0.025008137280927288	0.020757344389746076	0.03731792061766163	0.014305975622058065	0.031052037955535412	0.0033610427776929242	0.03341342125779386	0.0002658770770662325	0.02012957714498302	0.0024112724249037935	0.0004591007468927784	0.009878978347519017	0.0207649344045892	0.030723198030213845	0.015908708495204017	0.02417241789866737	0.025046422724474368
2	0.028752744613399932	0.03870723911911772	0.03127946004818013	0.03221933647097925	0.03247019978962126	0.0037299013319498373	0.01391002201274206	0.024309626482199122	0.014906875903428344	0.024186467099235314	0.020449830644906127	0.017484847417480475	0.028001530437827545	0.022434337186405803	0.017593764067466298	0.01990456624798786	0.02589241585804975	0.02910288726029619	0.01573668733828057	0.014970026519675456	0.020495958770876007	0.02339920178368686	0.02310169834714446	0.03534130889146643	0.03723939419241132	0.014453493114949098	0.014908239386381219	0.015144746497351617	0.00472986783924543	0.013517589492487719	0.013582643881143018	0.009106183293191612	0.0037800365646188023	0.017277316251862383	0.016511470290711677	0.041254884443287725	0.01184663807045427	0.023825593222477053	0.004281670828983638	0.02629703222063553	0.011531791088403869	0.017132592758674108	0.012198362508323856	0.010047782177071302	0.018780586456841015	0.02995296477424916	0.019343221911256914	0.012569861617389806	0.02096178787392223	0.021343315601272825
3	0.029416194983810293	0.043436296337192926	0.029462893820854475	0.03109985844995463	0.03486607667323386	0.0033473157841346817	0.013462285640398515	0.01744947293387475	0.011255322676778643	0.025937582897864794	0.012035766402354252	0.011406998029432666	0.028683194021240685	0.0175534326690542	0.015824465607770694	0.018029097151805062	0.0219369021855171	0.032128383964186075	0.021979613426315305	0.015345536034913579	0.018674313757174675	0.028828590091178764	0.020876204670065655	0.056731796021467024	0.043587020119603824	0.019345626991421214	0.01170432604728615	0.012101576340925622	0.006185094151911857	0.01063484754275675	0.01814075773874857	0.005367844096338856	0.0027366246517981597	0.012508833285946729	0.014871942900596897	0.04321294830841456	0.010540164387490523	0.020006129922870413	0.0048199677971938115	0.022844175189825202	0.016115421400888584	0.012798270294110951	0.016181784471387628	0.013930804688544806	0.024732338394846738	0.03467065204839794	0.012863973693585771	0.011091903346786098	0.019541507098219085	0.019697870859529988
4	0.02971910901550832	0.04521381817600315	0.028618347509184756	0.03052957692305428	0.03485690391057247	0.0035613938103226913	0.013492013134602786	0.012207250453311213	0.009003084669846582	0.027225150413152235	0.007462859878905333	0.007245228340622	0.03039104599551779	0.01217526732043338	0.015607814315575232	0.017275288900063468	0.0191945150415462	0.03641847326833106	0.027701442698510614	0.016178232706965705	0.01823908151491035	0.031797512932651234	0.015336341534644266	0.07276957044372974	0.047979849645779137	0.02358529709902696	0.009909048181048045	0.00891379565007126	0.00739513145665817	0.009249148737287069	0.02059307213360069	0.004275614890041114	0.00215810742231274	0.00966542636603728	0.014196673930094848	0.040122604939822955	0.00995137029882353	0.017525429639256757	0.005180394665306219	0.01894080801698948	0.020032311385791698	0.00823980149373857	0.017987459817690538	0.01521789709421275	0.030294819583752988	0.038910712694813866	0.008357657858741322	0.010884185480417228	0.018933678987392094	0.01928037962332779
5	0.029541137702124107	0.045356663522832595	0.027993558467881846	0.0298375947032076	0.03464343647946376	0.0037221080813789847	0.01340412980009322	0.00875725824413663	0.007365394259643975	0.02791115080154148	0.004733351754671291	0.00494959444203155	0.03184309092424593	0.009213694562307223	0.01544733435524988	0.016828258090773623	0.017307740520366464	0.039557718555679175	0.03236511712411523	0.0165604073788107	0.018046039866347542	0.03300127224678311	0.01198508754261844	0.08471291654694306	0.05063631235364278	0.026473058618063313	0.008588696155691584	0.006683225777759164	0.008255604043513094	0.008294191808293631	0.021816156480551435	0.0038489044429639123	0.0017721351052662968	0.007639375441198822	0.013724245226647785	0.03740174232217096	0.009472987764806547	0.015620555659254628	0.005335255626660118	0.015976095687477845	0.022284800105591	0.005894916006179663	0.018571719837204174	0.01567051310049601	0.03479240468612393	0.041664521543716464	0.006098694043945326	0.010846339527969805	0.018445226355082202	0.01910826630648211
6	0.02915518196856104	0.04485124795647708	0.027460201442663746	0.02914265086238321	0.03461981088479622	0.003820206555762832	0.013249567830872945	0.006446556106648816	0.006114713451572982	0.028220282706358707	0.003048322854492639	0.0037175521213610127	0.03308039744466055	0.007743331166742066	0.015249919152234724	0.016540032344163586	0.015950853446221987	0.04173086520300592	0.036049192393966326	0.016648247496949143	0.01795301740097262	0.033329525032657056	0.010308893935028618	0.09375306217773428	0.05220282701367516	0.02834052338452419	0.007588987002357003	0.005084426164792117	0.008841558034096494	0.007577747582827346	0.02234926297738638	0.0036410861673237182	0.0014922201004663996	0.006132285220635023	0.01337129127098296	0.03568261885298692	0.009085527571872623	0.014162004705737504	0.005381722421958305	0.0137358375460407	0.02347856709961759	0.004710321201131125	0.018624243398807288	0.015755399133208028	0.03829990712956077	0.043387214801751145	0.005060434411782477	0.010774101665402745	0.01803205743569361	0.01902419576909425
7	0.028755218944826796	0.044193371348467056	0.02708746848616051	0.02853380601552367	0.03476331474383051	0.003857547295658067	0.013080944997567437	0.004871878668702282	0.005138982332672307	0.02837264520937095	0.001990161558183217	0.003028774099452178	0.03413007373077899	0.006958858973152481	0.015037855290318152	0.016365270372036392	0.014943162985027129	0.043227053211008865	0.03904962299758904	0.01655688912747511	0.017909873071706734	0.03326504178999584	0.009449894767438521	0.10087265336506313	0.053166311769511455	0.029553817365601604	0.006805298884792031	0.003917961044759254	0.009251239887208156	0.007003975598953311	0.022526216215353067	0.0034901417425639188	0.0012821183573891398	0.004987242527164375	0.013101599275450244	0.03461032958050945	0.008781513564279886	0.013025191293112005	0.005374701948337993	0.012012806707798201	0.023946210704448374	0.004097987802763613	0.0184133748321194	0.015718836973520223	0.04110271231822776	0.044417747773381144	0.0045654991959869	0.010695659302485276	0.017710567876658374	0.019000574075619458
8	0.02841190351345884	0.043579698800500145	0.026840128570334923	0.028051187941467156	0.03500373706354477	0.003849133886257933	0.012927352068272847	0.0037809266392599024	0.004360996506985237	0.02845332992270338	0.0013153182229592797	0.0026198917897713794	0.034999397719012226	0.006489319825069877	0.01483174316609797	0.016260789959998037	0.01417386071788029	0.04426175846950824	0.04156312871155743	0.016367454418729385	0.01789825286585551	0.03304761199285016	0.008971402517696946	0.10664867078496387	0.053792944425842086	0.030351318080387407	0.0061734507419281565	0.00305167094920779	0.009549100468572621	0.006523650810048906	0.022528438444403748	0.0033480819199870723	0.001120783835048925	0.0040997661539282255	0.012886915632232257	0.033923911163938385	0.008545890383858014	0.012119646204577663	0.005345206938756705	0.01065666139631752	0.023953663617095146	0.0037841534474236157	0.018079000597090833	0.015648356809361674	0.04340528394709096	0.044997741316013716	0.004305050881588293	0.010623381007819522	0.017465166367653003	0.019013768385092233
9	0.028137906088388072	0.0430687670643845	0.026678635204915698	0.027687137542978753	0.03528605845269393	0.0038132401418485215	0.012797095053453762	0.0030135227181493788	0.003728010392650163	0.02849694861415076	0.000879262460880424	0.0023631958045637765	0.035706977631283485	0.006167301832461023	0.014644016419974626	0.01619658681021436	0.013568413265298684	0.0449767498379224	0.04370510743973855	0.016140673266940783	0.01790530360993263	0.032786988879748465	0.008666351381456917	0.1114130220913661	0.054216677059299244	0.03087994005019766	0.005654694503966505	0.002397742771941406	0.00977233435170421	0.0061145218360689575	0.022456116859684554	0.0032107850313456863	0.000995031347515096	0.0034002966479733054	0.012707651620648866	0.033450181983005284	0.008364344794587152	0.0113917194157976	0.005308071881487719	0.009561060497433367	0.02371674810644796	0.003626589165837165	0.017719216028691098	0.015575313653982055	0.04533429913916195	0.04529076983930794	0.004142126087911523	0.010563484036480789	0.01727713093841729	0.019045880345709816
10	0.027926321421549057	0.04266585693157687	0.026575030186620253	0.027420126348032117	0.03557142270643379	0.003764383837250982	0.012689828349006109	0.002466423981299022	0.0032045269748740405	0.02851880908519684	0.0005946053027813164	0.0021941384932631616	0.03627940591728555	0.005918692209515336	0.014480264863816919	0.01615662543437763	0.013077597958270126	0.045466583360780785	0.04554668471241955	0.015914506816490735	0.017922468443374206	0.03252939470286317	0.00844107696639993	0.11537434014114807	0.05450942225687894	0.031231361560380855	0.005225706075768762	0.0018974987931013607	0.009943255690665802	0.005764572752568627	0.02236052062121341	0.003083412739562836	0.0008961102497333336	0.0028422074816102775	0.012552796000986965	0.03308356720640373	0.008224104670892416	0.010805721946523522	0.005269837482060847	0.008654225031676538	0.02337985421233788	0.003549146397560831	0.01738652086189192	0.015509851842600576	0.04696922155728079	0.04540630771717272	0.004019030529209136	0.010518452839900915	0.01713224148759068	0.019085936849800818
11	0.027765476957088538	0.04235751747002183	0.026510533245738134	0.027227742549676106	0.03583636008955224	0.0037121046828271927	0.012602477025845856	0.002071913722160932	0.0027662842015331607	0.028526737795427755	0.00040733868828828746	0.002078346111934853	0.03674238863666588	0.005712166339937398	0.014341638018451902	0.016132524190747788	0.012669373452002416	0.04579643485399652	0.04713588900460189	0.015709029582704752	0.0179443713895282	0.03229268752586001	0.008256077160597905	0.11867792849982792	0.054713313824344696	0.03146435082257402	0.004870502148454071	0.0015108951235345918	0.01007605120911034	0.005465570154957216	0.022266031863256895	0.002970288951202227	0.000817886263471433	0.0023931035926700716	0.012416218461842082	0.03276644223005794	0.00811495542534361	0.01033495230373912	0.005233298068542648	0.007888667861835277	0.02302649441016721	0.003511667971465681	0.017102268201816578	0.015454403211425913	0.04836335533212847	0.04541633363641462	0.003913866236787663	0.01048782260141611	0.017020197633186872	0.019127721265237346
12	0.027644067293697734	0.042125619800650195	0.02647232099262411	0.02709065735160749	0.03606919975428698	0.003661949028614031	0.012531477675220058	0.0017846866659257728	0.0023961718757664866	0.028525511978228692	0.0002834208076365592	0.001996612605264244	0.0371179108502582	0.005535097309947805	0.014226871362467747	0.016119732070617305	0.01232273694161352	0.04601243364055527	0.04850818793926662	0.015532745624734482	0.017967874793969666	0.032082379405356916	0.008096256324203409	0.12143390419570725	0.054855080973670554	0.03161746337229496	0.004576888438615304	0.0012098560427160519	0.01018020084345219	0.005210957768547226	0.022182845894327702	0.002873219215210138	0.0007558509027764234	0.0020296076264744865	0.012294407709585824	0.03247129622509316	0.008029212945411328	0.009958212170027325	0.00519958492711253	0.007232802772501896	0.02269900878238621	0.003493271726250224	0.016870650174697483	0.015408753640677623	0.04955517939067889	0.04536736076603114	0.0038197457011836166	0.010469368502684958	0.016933416034950396	0.01916793116442168
13	0.02755263977316542	0.041952922371689697	0.02645153442231635	0.026993562044032762	0.03626614139702064	0.003616731781464137	0.01247359192595497	0.001573856695749292	0.0020816749646570616	0.02851843048053128	0.00020105287971424339	0.00193765955067632	0.03742388255707121	0.0053823310034191805	0.014133502521141993	0.01611555104766991	0.012023681825049136	0.0461477828880608	0.04969190284092641	0.015387342720976884	0.017991291942922438	0.03189872548085998	0.00795648685345881	0.12373071929394779	0.054952761450742155	0.03171645229038219	0.004334934131974647	0.0009741644191375316	0.010262339960529906	0.00499508249317644	0.022113983245662976	0.002791999870656545	0.0007065784896747181	0.0017342759135840625	0.012185227484388437	0.03218778272025907	0.007961224997603523	0.009658177093809695	0.005169079207612165	0.006665126219234393	0.022414975424303412	0.003483347963843325	0.016687655231345428	0.015371833759532017	0.05057443415091103	0.045288866043716576	0.0037352800819688086	0.01046024896471146	0.016866180908189123	0.019204988220573663
14	0.027483765477891088	0.041824932843300994	0.026442056644685373	0.02692492028889851	0.03642809878860348	0.0035775547371156295	0.012426136475626915	0.001418020110070659	0.0018133065476904266	0.028507889226019087	0.00014610674214043088	0.0018945095067141936	0.03767454212579081	0.005251291135346434	0.014058597334975102	0.016118147797025306	0.011762647997244085	0.04622657377660564	0.050710957913369416	0.01527082964983466	0.018013803223191426	0.03173987191239762	0.00783506556764178	0.12564186280723913	0.05501904071901926	0.03177874700214389	0.00413626984723282	0.0007889174795569802	0.010327306256798272	0.004812886615311913	0.022059067665416682	0.0027252429499001855	0.0006674104268967328	0.001493733005589369	0.012087236032674292	0.0319143910288986	0.007906847805096023	0.009420486421208818	0.005141815595876872	0.006170472724664692	0.022178329898704763	0.003476742542322887	0.016546088226923713	0.015342368083858247	0.05144536402421758	0.04519904196137491	0.0036605701527731155	0.010457732267387174	0.0168141003879963	0.019238302248737665
15	0.027431780694232254	0.04173019497877187	0.026439699386214478	0.026876310449165712	0.03655847382255645	0.0035445210308146687	0.012386980713404563	0.0013021365135627418	0.001583644034178034	0.028495628874714494	0.00010934321647067899	0.0018626254967670296	0.037881067823504824	0.0051400419274224484	0.013999183193198836	0.016126093317613367	0.011532920218880967	0.046266306942731136	0.051586237545981725	0.015179512886180692	0.018035070506376732	0.03160325381917158	0.007731033072004577	0.12722937783152938	0.05506304501887947	0.03181625003248953	0.003973745095202001	0.0006429183806930398	0.01037874310627426	0.0046597956479818205	0.022016317626294076	0.0026710337331690053	0.0006362576300112826	0.0012975079494800784	0.011999331566270938	0.031653446761722055	0.007863026725032711	0.009233188370265011	0.0051176655766758915	0.005737680777951656	0.021986207941244562	0.0034711513399258817	0.016438167202378808	0.015319117877152375	0.052188442216695864	0.04510867917883521	0.0035957247657090927	0.010459534243565407	0.01677376166752716	0.019267821273123546
16	0.027392433656924654	0.041659968536061284	0.026441633646016975	0.02684171605937586	0.03666171066915532	0.003517202409891887	0.012354465661056005	0.0012155111104597018	0.0013867269159947401	0.028482877141565263	8.46801226824777e-05	0.0018389282661295167	0.038052190488360955	0.005046651745853537	0.01395249166293474	0.01613817145427746	0.011329619045996981	0.046279649078458794	0.05233625018395414	0.015109181211932207	0.018055003201368068	0.031486202030836984	0.007643262508524402	0.128545922308932	0.055091398339409355	0.03183713390937515	0.0038412408188474977	0.0005276292272954408	0.010419460426494541	0.004531684884200605	0.021983559421571156	0.002627353031433726	0.0006114677403213465	0.0011372800107066561	0.01192057970750165	0.031408309265364476	0.007827486606971348	0.009086363007068644	0.00509642349836323	0.005358160245858247	0.021832889554283516	0.003465704309097344	0.016356736597423496	0.015300967549074658	0.05282130840611809	0.04502378085242943	0.0035404594012115494	0.010463908071166718	0.016742502618674313	0.019293763382993913
17	0.02736255609425421	0.04160773163032907	0.026445982475534775	0.02681690438039688	0.036742424229846096	0.003494929353146985	0.012327308352246557	0.0011504612497731717	0.001217671012041031	0.02847045679549442	6.809370699303825e-05	0.0018212562309228237	0.03819472872157468	0.004969081936173195	0.013916076272070966	0.016153312671856265	0.011149063644798967	0.046275702923995805	0.052977468263909276	0.015055763041610545	0.01807362581816353	0.031386192293909994	0.007570289621917138	0.12963617308607947	0.055108907147340874	0.03184702369897569	0.0037335439950006858	0.0004364669492116741	0.010451660968218254	0.004424869589742502	0.02195870788797253	0.0025923100955927976	0.000591730085388703	0.0010063683708217339	0.011850136607124447	0.03118195243426335	0.007798510855612291	0.008971830143492638	0.005077849220809828	0.005025019730690071	0.021711928954259035	0.0034602040132056906	0.016295727770018406	0.01528694845418535	0.053359307935006296	0.04494731632961097	0.0034941069374634466	0.010469605915164805	0.016718249347565117	0.019316462756223847
18	0.02733979345557121	0.04156868585607625	0.026451528271089302	0.02679892972716034	0.036804921761830284	0.003476961854714637	0.012304515314165895	0.00110141885153922	0.0010724133863589957	0.028458878524816492	5.691193665097159e-05	0.00180805423804767	0.038314026194013855	0.004905254213736215	0.013887851780846953	0.01617057871223824	0.010988369149086656	0.04626094452814878	0.05352452890328684	0.01501564660327853	0.01809100793913457	0.031300934908901325	0.007510407564771083	0.13053792383924065	0.05511903795418006	0.03184978992096182	0.0036462448028332785	0.0003643142024332608	0.010477089615043619	0.004336095185570493	0.021939962719051492	0.002564248525965223	0.0005760042493425927	0.0008993717228470717	0.011787219110553028	0.030976376627420584	0.007774786298720111	0.008882899380178735	0.005061690852214204	0.004732535988991979	0.021617207478470686	0.0034547281359284623	0.016250234769376155	0.015276237942629686	0.05381583243973585	0.04488038750442644	0.003455749975907344	0.010475789094203157	0.016699392648389207	0.01933628533992056
19	0.027322395457545286	0.04153933078884624	0.02645750348292849	0.02678575647971341	0.03685297844077299	0.0034625832456947185	0.012285311873653214	0.001064316755210318	0.000947537337017167	0.028448421450165552	4.9355100699442767e-05	0.0017981845809044439	0.03841429572237921	0.004853151833950011	0.013866087157187403	0.01618916266267898	0.010845192182171694	0.04623992101218749	0.05399038212639744	0.014985795977482305	0.01810723014426834	0.03122839488421515	0.007461820103706982	0.13128302092713268	0.05512426603600249	0.03184808765967664	0.003575641851422986	0.0003071695108310197	0.010497136902531554	0.0042625194526842635	0.021925858879652056	0.002541776153671245	0.0005634645964751641	0.0008119036140785225	0.011731096022812923	0.030792488230615627	0.0077552947729567535	0.008814146027764572	0.005047697826832348	0.004475829824690166	0.021543377720313964	0.0034494331064560874	0.016216412855942386	0.015268148811551498	0.054202562225803705	0.04482299445433031	0.003424359096990217	0.01048192894644265	0.016684689969479055	0.01935358572308287
20	0.027309058163061603	0.04151712370534101	0.026463442660448748	0.02677598261825758	0.03688976729967004	0.0034511462973023893	0.012269087378105037	0.00103616353727169	0.0008401475206559004	0.028439200510380173	4.423487584005734e-05	0.0017908060420943808	0.038498883809392453	0.004810901769678284	0.013849373895242345	0.01620838940897258	0.010717569816125386	0.04621577099941025	0.05438642396502557	0.014963752291781107	0.018122369428897563	0.03116678325292256	0.007422774126801657	0.13189819174944306	0.05512633598124821	0.031843726919896426	0.0035186517778320425	0.00026189069383053423	0.010512914116760698	0.0042016860430056585	0.02191524791053273	0.0025237541030666464	0.000553456369616478	0.0007403916989311195	0.011681087364796373	0.030630215907823034	0.007739237083837934	0.008761208565051824	0.005035628850971717	0.004250665364533021	0.021485982959598228	0.0034444662037058722	0.016191311700915943	0.015262115133869209	0.05452965947348585	0.04477452939109554	0.0033988991933359782	0.010487718209382038	0.01667318627710344	0.019368687583652164
