time	gene_0	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7	gene_8	gene_9	gene_10	gene_11	gene_12	gene_13	gene_14	gene_15	gene_16	gene_17	gene_18	gene_19	gene_20	gene_21	gene_22	gene_23	gene_24	gene_25	gene_26	gene_27	gene_28	gene_29	gene_30	gene_31	gene_32	gene_33	gene_34	gene_35	gene_36	gene_37	gene_38	gene_39	gene_40	gene_41	gene_42	gene_43	gene_44	gene_45	gene_46	gene_47	gene_48	gene_49
0	0.6097456283618697	0.2904498128600407	0.8051569608539987	0.9506038954497447	0.3045648273363972	0.2073000139428457	0.9454193708421895	0.8383118353386757	0.7214007623266768	0.20454977937571972	0.17007582410261413	0.6481913460485584	0.24627033078721683	0.01296696161456301	0.14301996769698988	0.024106272997626466	0.14134196609218896	0.9173691588244741	0.9881203058751138	0.1643336748454175	0.924426834391468	0.514270379193356	0.10312316486193174	0.15568551927862317	0.76951390441168	0.7828518686745266	0.44467327092260023	0.13024150078108754	0.6027082348050662	0.28086249056822243	0.4523227336003258	0.9443562768879356	0.5709646432145242	0.8666864037944539	0.926740801123744	0.7396048003696765	0.4535910460955821	0.17398394545418883	0.4280894772842593	0.509289249376696	0.20058475751966576	0.9311318845711877	0.07914030609023526	0.9298091995206442	0.5635635414491909	0.04734879900668065	0.5163681043039848	0.8150003249786675	0.4495659785868604	0.3222804641456204
1	0.9204667753185405	1.1892242044711467	0.7106210830961099	0.7704201853486341	1.3041213894196058	0.11252957914757901	0.6439074312490581	1.1653480632435267	1.5987894133163507	1.2045545828803224	0.4523257983839645	0.9519266385660363	0.6858871358906633	0.05516238533753348	0.12257546808471477	0.5890019276829164	1.168272354480535	0.8250023781397087	0.8212490138516332	0.12672042758788057	0.5852064768807633	1.3915413278667303	0.18543512383363378	0.1692253041051438	0.45426660135797975	0.4338394609474961	0.35089984844649325	0.08984280797326565	0.6650869202668437	0.6698252374348004	0.3267702598784261	0.5475132399551482	1.4657607587618142	0.9353569672640463	1.461846832929576	0.5883695572485205	0.33367553174539766	0.1830214894024979	0.7595823436518416	0.2876283333180038	0.17688442953599276	1.2098418283271744	0.5832687702828336	0.965133950811002	0.5201134258680943	0.25281331360274567	0.4864869470807589	1.6875533237959777	0.5020327821927825	0.28566189627759464
2	1.1347821954534236	1.9660170277596203	0.6272186992935296	0.6272940529630641	2.1787404555633594	0.06113231616679358	0.450500549102382	1.4176805975295674	2.2712219881665603	1.9210278258490434	0.5813825204593411	1.1856944199328487	0.9159041076971897	0.07389111832469063	0.10811621517303523	0.9724734274290481	1.7745024236591833	0.7495406394849113	0.7371723734244906	0.1021675137613869	0.39272503976136713	2.0089949628201524	0.25846856872075974	0.16815393171333493	0.2748234055832512	0.24445876854795273	0.2878990986322252	0.06234862796623424	0.7010299091686816	0.9557149486283183	0.23797171060164374	0.3209968420481518	2.2979657919854457	0.9747470764246933	1.8905121738066308	0.46828161567705884	0.2612096826498177	0.18977474038408165	0.9879898207191455	0.1640910067370475	0.15955359630327848	1.4651465689125291	1.0306251810032083	1.0026051082487948	0.493249392847186	0.4014111134782856	0.45925193782396856	2.3919861501936994	0.5374748021659367	0.25381190029764267
3	1.4041585010777422	2.6339573389147843	0.5613764668744279	0.5978421775896444	2.938873592592058	0.0388103153908784	0.4595641157537921	1.4422191760456817	2.724446926603108	2.4706895052955966	0.548947431724824	1.4477762708785034	1.039581447892949	0.049762234737280565	0.22766816419887018	1.219886619725735	2.1725256673522737	0.7624539170398574	0.7912950326284114	0.07103621977311984	0.302086102337533	2.4272349266004962	0.5144306735688352	0.11806098923400221	0.15792557062837365	0.13319855661316451	0.4396982987640544	0.04233870001194338	0.7092541581905224	1.104843781145341	0.20717603242150506	0.20123223712559274	3.4544036754493614	0.9421531815509742	1.8175088285282275	0.37969638057854915	0.18027379990746828	0.24607841447870854	1.1718114943981472	0.0931829838286153	0.2663587881199966	2.0288735209621622	1.4315829794563883	1.1928499590441048	0.4436564167318743	0.45715123807837077	0.30733389917686454	2.975230496632735	0.5541553196778987	0.31850464558282376
4	1.5942005321486854	3.0046244961240056	0.5207816557993566	0.6426323746105136	3.5771987529995224	0.0402073575393084	0.4886261704465472	1.2880330038190009	2.972480789696768	2.8574135326395202	0.45133895525258216	1.7007557494664842	1.1049082379730473	0.029648871098111502	0.389091440221331	1.3698699836777168	2.3995507299935124	0.7652312875788106	0.8323800137700079	0.04645997993664575	0.250890283950177	2.698317988169606	0.773455379713536	0.07562229218919701	0.08960774864978485	0.07204154389849618	0.6205626388153239	0.028691157829791383	0.6777740619433883	1.1228666503269062	0.19839735382135187	0.13260845060927223	4.511425567220565	0.8426980068385571	1.6126170707524161	0.315451591431302	0.11472854261107347	0.2856353458106771	1.3334594472212313	0.05242137108497675	0.37445031612701796	2.4761448817103546	1.7774176618082604	1.3455784912249682	0.3633696519092268	0.4218283116424956	0.1895245437837052	3.456264982290337	0.552747170110266	0.5066592291284756
5	1.7239286395688542	3.1511962446172705	0.5010764723466414	0.7307794889312104	4.104567366191182	0.05398942694428964	0.5130664765891064	1.1039414352506018	3.0894169875944697	3.12896861050654	0.3444533979846987	1.9288720612027523	1.139349135263361	0.01720985981578671	0.5396116585223636	1.4509078265377537	2.50866629408967	0.7476319295486927	0.8592635385536673	0.029986534921982347	0.2202677099538846	2.878654778171563	1.0069106395423033	0.046901686138385655	0.050763414361379856	0.03890133844189761	0.7750693617947976	0.019438764483635445	0.6263734297281315	1.0578662570945605	0.191475500291278	0.09202571602129175	5.454686977039617	0.7245697975707681	1.4101824507327154	0.26904614297558044	0.07225684647678696	0.3042525891041166	1.4681720307392498	0.029402644540036094	0.4648919908784846	2.7754726896417834	2.0762211805668183	1.4606142273656195	0.28331943706462315	0.35084856174034923	0.11451355722585994	3.8513808845207915	0.537391398078163	0.7586996946976946
6	1.8210491637124997	3.278920917007291	0.49894076675025045	0.8391031172650357	4.538064779468096	0.06557746060881775	0.530077823068507	0.9517343382405979	3.1680435082259373	3.320236120798249	0.26054780976766073	2.1310231646423343	1.157457701873387	0.01011238926864463	0.6707306112884188	1.4882671916557078	2.572867520257934	0.7402770511741886	0.8758807813524856	0.01976962123533645	0.20299891418994648	3.002080970300043	1.2223853275135088	0.028863794958885632	0.028866529820956686	0.021014059665384496	0.8888158658853116	0.013170211026688014	0.572540314991479	0.9939124096830362	0.1837581484201182	0.06701697200373495	6.290812760550429	0.6353719439010228	1.2328902315276822	0.2356489309947713	0.047563477478799944	0.30668212602036005	1.576763783784738	0.016562972000831323	0.5361433895107307	3.0330757115439777	2.3350652057957637	1.5459504785322469	0.23121307791573692	0.29082984816410495	0.06956973041162101	4.174975614260454	0.5215870846651789	1.002575177821284
7	1.899369405936369	3.4852943751536687	0.5110362923868824	0.9530764975774837	4.894948581609448	0.06940995257603971	0.540289875219158	0.8463882529466418	3.2539712090120925	3.4548453980764418	0.2033107556522194	2.311230221163118	1.1669858376566402	0.0062011988868140395	0.7814416762614877	1.5011387619861527	2.6283663813961957	0.758134460173945	0.8857803819105465	0.013878804671424414	0.19441264231413408	3.088637256239773	1.424719264426705	0.01780135493011799	0.01661881968545824	0.011378826483893172	0.9661803937178489	0.008924214241887959	0.5237876496030558	0.9657521947598252	0.1758671283408422	0.0511720377612192	7.028697596208248	0.5857770067285533	1.0832761602560323	0.21175015719406304	0.034697766441185905	0.29931111864085225	1.6641857823656023	0.009489801768084283	0.5905612537964797	3.305988720548899	2.559410669172123	1.6084685125932567	0.21033976146243782	0.25211057525103814	0.04340096530132158	4.4397670315332896	0.5125028462521509	1.2027922698018025
8	1.9631049360013968	3.7367829210037624	0.5324537424292973	1.061148408452898	5.192755799627479	0.06975230039089184	0.546304530763605	0.7868981316383731	3.35363303298647	3.5495155991828904	0.16717330660638757	2.4727175470382665	1.1720147170392266	0.004113912436519208	0.8724523017592312	1.502378906725112	2.6720071443376097	0.7896663988397075	0.8915637508243053	0.010665992208484446	0.1909218678952513	3.1499303365099656	1.616020428884256	0.011085883368237626	0.009863477726030872	0.006192708979797652	1.018279611042237	0.006048555712804347	0.48295544024509074	0.9569745946135543	0.16926120515783197	0.04121792136882164	7.680165628689419	0.5673044925300312	0.9574652454145461	0.1944782191805887	0.02933064705066008	0.28877507459919327	1.7350626355644463	0.0056293075193536764	0.6321167637696588	3.5730695164628536	2.7538404153659086	1.6541542439937529	0.2056559169902279	0.22753438400179138	0.028335284126909808	4.656439648660575	0.5074679259073149	1.368260446473485
9	2.013957983634079	3.982907745637863	0.5581999845040511	1.1552946823916828	5.447203548629897	0.07140492357542697	0.5506521816426787	0.7655468546552694	3.459936239203492	3.6160439440835823	0.14604620508939142	2.618027976255884	1.1746733199956072	0.003058381422909435	0.9455654628757727	1.4998807046431204	2.7006099860559445	0.8207739745073462	0.8949122337126079	0.008917596320002398	0.1901260771735253	3.193374112221696	1.7973466301468801	0.0070400820426872145	0.0062357108597156825	0.003395144852075302	1.0553732728288563	0.004100428496314918	0.450966156526279	0.9495553001393462	0.16519204528291126	0.03527069930823612	8.257505729106061	0.5685664558139161	0.8484431903822938	0.1816246608181376	0.028498942501802516	0.279889817036793	1.7930407184403174	0.003515657679943953	0.664726518304257	3.814834361366076	2.9223758346707904	1.6877226666795313	0.20358802011453972	0.21001263536675538	0.019606942295228004	4.8337609019810275	0.5033206598062063	1.52158242353261
10	2.0536638136813377	4.204004512315832	0.5850327269279213	1.2326353029349764	5.669341229929575	0.07566854970321964	0.5543791249931213	0.7718700541541653	3.5645100590595744	3.662735117040346	0.13509442954971285	2.749311986217685	1.1760749095690506	0.0025821579194355458	1.0034272179437902	1.4977913589958318	2.7174095343005202	0.8464062553416607	0.8968146773656027	0.007947057158618055	0.19063526454080346	3.2241063190754704	1.9676924389165131	0.004625185590940749	0.004377928020435022	0.0018821721694362572	1.0831906504530648	0.002780307153204337	0.4274083161604132	0.9390108997266802	0.16395651613444517	0.03197983340414522	8.770508371280496	0.580339756131492	0.7523641968612123	0.17175224215667906	0.030153791006806874	0.2745260698598715	1.8408491696032647	0.002351525847963742	0.6908770451339361	4.02970677614571	3.068533635739042	1.712503629133607	0.20015349936066684	0.19697880321123917	0.01453076141393806	4.978859254250272	0.49920384139991764	1.6742721297778222
11	2.0841096945432556	4.404540395144497	0.6113769915380017	1.293741427164726	5.865675128259174	0.08163674524599937	0.5576035564751851	0.7951702233490959	3.6611470762090725	3.695448121612313	0.13062291166570297	2.8682705812877307	1.1768104329536069	0.0024216044422903085	1.048874607765614	1.4975487477282228	2.728176753111069	0.8682829742462811	0.897831731517524	0.007443254915840287	0.19168281741629928	3.245658083893928	2.124973680903936	0.0032022015724875678	0.003498512485874582	0.0010651459760634026	1.10432444075557	0.0018858414487289634	0.41098360572296594	0.9292400913581462	0.1650754321740322	0.030321310653020954	9.22656315015671	0.5960617832713243	0.6683565710004123	0.1639826169902084	0.0328684888729117	0.27250884274434845	1.880525830819963	0.001722183939674524	0.7119496374368891	4.227120523849791	3.1953258483685056	1.7308037624568908	0.19701787186227143	0.18847729757297024	0.011665618285417553	5.097567321382078	0.49574224264097294	1.8267490500754304
