gene_id	gene_type	collapse_count	collapse_rate	mean_Δmean_P_terminal	mean_deviation_score
0	TF	4	0.5	-0.008016886668178649	0.7556361690191942
1	TF	6	0.75	-0.012008357438227372	0.9762924894793936
2	TF	7	0.875	-0.01401612344564045	0.979810963425661
3	TF	4	0.5	-0.006016848697406277	0.7624137330023338
4	TF	6	0.75	-0.011978492170916972	0.9098012262246311
5	TF	7	0.875	-0.014005651908756009	0.995501227777518
17	EPI	0	0.0	5.14707171772583e-05	0.08999162844844345
18	EPI	0	0.0	0.001997816983966763	0.09472172086357998
19	EPI	0	0.0	6.886326611689308e-06	0.07503537935085394
