seed	gene_id	gene_type	terminal_mean_P_baseline	terminal_mean_P_ko	Δmean_P_terminal	deviation_score	baseline_regime	ko_regime	transition_type
2026	0	TF	0.02	6.849491158681178e-07	-0.019999315050884134	1.2307844127123444	steady	collapse-like	steady->collapse-like
2026	1	TF	0.02	3.7781585452143284e-09	-0.019999996221841454	1.1474571496772252	steady	collapse-like	steady->collapse-like
2026	2	TF	0.02	1.0226671195930699e-09	-0.01999999897733288	1.0776892103104299	steady	collapse-like	steady->collapse-like
2026	3	TF	0.02	4.793541480480976e-07	-0.01999952064585195	1.2179587550166613	steady	collapse-like	steady->collapse-like
2026	4	TF	0.02	3.9815178213742307e-11	-0.01999999996018482	1.1341007077873437	steady	collapse-like	steady->collapse-like
2026	5	TF	0.02	2.532053379534044e-08	-0.019999974679466206	1.1174796008444996	steady	collapse-like	steady->collapse-like
2026	17	EPI	0.02	0.02	0.0	0.03130429924271129	steady	steady	steady->steady
2026	18	EPI	0.02	0.02	0.0	0.02043823139275104	steady	steady	steady->steady
2026	19	EPI	0.02	0.019999999999999997	-3.469446951953614e-18	0.00017823791102657523	steady	steady	steady->steady
4094	0	TF	0.020000000000000004	1.2619289783248191e-08	-0.01999998738071022	0.9901832181773349	steady	collapse-like	steady->collapse-like
4094	1	TF	0.020000000000000004	3.5798924950754877e-10	-0.019999999642010755	1.0543910042781275	steady	collapse-like	steady->collapse-like
4094	2	TF	0.020000000000000004	2.553206608300855e-07	-0.019999744679339175	1.0555446952227623	steady	collapse-like	steady->collapse-like
4094	3	TF	0.020000000000000004	9.544668324074342e-08	-0.019999904553316763	1.028848774062188	steady	collapse-like	steady->collapse-like
4094	4	TF	0.020000000000000004	0.02	-3.469446951953614e-18	1.0018118250803674	steady	steady	steady->steady
4094	5	TF	0.020000000000000004	0.02	-3.469446951953614e-18	1.1285016432056196	steady	steady	steady->steady
4094	17	EPI	0.020000000000000004	0.02	-3.469446951953614e-18	0.07786087203771368	steady	steady	steady->steady
4094	18	EPI	0.020000000000000004	0.02	-3.469446951953614e-18	0.10403555338054653	steady	steady	steady->steady
4094	19	EPI	0.020000000000000004	0.020000000000000004	0.0	0.024736295630311336	steady	steady	steady->steady
4478	0	TF	0.02	8.354424951997259e-15	-0.019999999999991646	1.0461733655759393	steady	collapse-like	steady->collapse-like
4478	1	TF	0.02	7.728500397325676e-12	-0.0199999999922715	0.9949488404932865	steady	collapse-like	steady->collapse-like
4478	2	TF	0.02	1.70814080759744e-14	-0.01999999999998292	1.0251579884755129	steady	collapse-like	steady->collapse-like
4478	3	TF	0.02	7.775479164034532e-10	-0.019999999222452085	1.0040836768342916	steady	collapse-like	steady->collapse-like
4478	4	TF	0.02	3.2929360754575687e-12	-0.019999999996707065	0.9952493919288335	steady	collapse-like	steady->collapse-like
4478	5	TF	0.02	1.0000407618039004e-13	-0.019999999999899997	1.0015608362946649	steady	collapse-like	steady->collapse-like
4478	17	EPI	0.02	0.02	0.0	0.05514064385296349	steady	steady	steady->steady
4478	18	EPI	0.02	0.020000000000000004	3.469446951953614e-18	0.02974278535306557	steady	steady	steady->steady
4478	19	EPI	0.02	0.02	0.0	0.5307515831613936	steady	steady	steady->steady
7709	0	TF	0.019999999999999997	3.14540084577135e-10	-0.019999999685459912	1.1051414045548331	steady	collapse-like	steady->collapse-like
7709	1	TF	0.019999999999999997	3.821356425026903e-10	-0.019999999617864354	1.014616371550488	steady	collapse-like	steady->collapse-like
7709	2	TF	0.019999999999999997	1.4077515208436544e-10	-0.019999999859224845	1.0843672351537108	steady	collapse-like	steady->collapse-like
7709	3	TF	0.019999999999999997	7.067053515289649e-10	-0.019999999293294646	1.0073031213945376	steady	collapse-like	steady->collapse-like
7709	4	TF	0.019999999999999997	3.5660224888234507e-09	-0.01999999643397751	1.0497133178961213	steady	collapse-like	steady->collapse-like
7709	5	TF	0.019999999999999997	3.7835704668580137e-10	-0.01999999962164295	1.0032210498802303	steady	collapse-like	steady->collapse-like
7709	17	EPI	0.019999999999999997	0.02	3.469446951953614e-18	0.05134759455726121	steady	steady	steady->steady
7709	18	EPI	0.019999999999999997	0.02	3.469446951953614e-18	0.16611545975508554	steady	steady	steady->steady
7709	19	EPI	0.019999999999999997	0.02	3.469446951953614e-18	0.09409704063992833	steady	steady	steady->steady
