world_seed	cell_seed	converged	convergence_time	bounded	collapsed	max_expression	final_mean_expression	activation_count	repression_count	repression_ratio
1000	1020	False	-1	True	False	150.00191509803972	24.094012083404504	10	10	0.5
1000	1021	False	-1	True	False	149.64076210120962	24.134561136516748	10	10	0.5
1000	1022	False	-1	True	False	150.26935868238672	23.99459463006904	10	10	0.5
1001	1023	False	-1	True	False	75.93236238721613	20.167404051705578	10	10	0.5
1001	1024	False	-1	True	False	75.93242316950133	20.26906414052499	10	10	0.5
1001	1025	False	-1	True	False	75.93239595049447	20.270711126490937	10	10	0.5
1002	1026	False	-1	True	False	162.8811923184629	26.53026849623884	10	10	0.5
1002	1027	False	-1	True	False	162.91743743599835	26.31085330852276	10	10	0.5
1002	1028	False	-1	True	False	162.93114394358193	26.45575573762261	10	10	0.5
1003	1029	False	-1	True	False	38.91371248325603	13.023391213779211	10	10	0.5
1003	1030	False	-1	True	False	38.870918971030434	13.055121565119288	10	10	0.5
1003	1031	False	-1	True	False	38.90593860919604	13.024919391077912	10	10	0.5
1004	1032	True	104	True	False	120.72507838848121	20.616441947531076	10	10	0.5
1004	1033	True	104	True	False	120.72507839695744	20.616440834232534	10	10	0.5
1004	1034	True	103	True	False	120.72507839207636	20.61644024584899	10	10	0.5
1005	1035	True	107	True	False	102.1493185695993	18.125166191502593	10	10	0.5
1005	1036	True	112	True	False	102.14965207629936	18.125179157403675	10	10	0.5
1005	1037	True	109	True	False	102.14960583796385	18.12517161364995	10	10	0.5
1006	1038	False	-1	True	False	126.42700579623198	17.959409294459714	10	10	0.5
1006	1039	False	-1	True	False	126.42700987309662	17.911572589826488	10	10	0.5
1006	1040	False	-1	True	False	126.42699116943712	18.071473743335314	10	10	0.5
1007	1041	False	-1	True	False	41.63892786753677	11.357878586277213	10	10	0.5
1007	1042	False	-1	True	False	41.638642999191674	11.250726077543614	10	10	0.5
1007	1043	False	-1	True	False	41.654652571383586	11.159594977099264	10	10	0.5
1008	1044	True	180	True	False	116.2075665033367	11.29342893084021	10	10	0.5
1008	1045	True	181	True	False	115.89288997765499	11.29412054404597	10	10	0.5
1008	1046	True	185	True	False	118.21750967806223	11.2962976539749	10	10	0.5
1009	1047	True	123	True	False	51.96224869537329	13.155985491886858	10	10	0.5
1009	1048	True	121	True	False	51.96228747679471	13.155987504112613	10	10	0.5
1009	1049	True	121	True	False	51.962298968894125	13.155988090929437	10	10	0.5
1010	1050	False	-1	True	False	69.57198750523615	15.42252848348026	10	10	0.5
1010	1051	False	-1	True	False	82.50414766077327	15.460429503191529	10	10	0.5
1010	1052	False	-1	True	False	65.50468131815374	15.392107659049083	10	10	0.5
1011	1053	False	-1	True	False	54.6479990481332	14.49411676604657	10	10	0.5
1011	1054	False	-1	True	False	54.670271265210516	14.492295000684118	10	10	0.5
1011	1055	False	-1	True	False	54.64696253383691	14.494907273162752	10	10	0.5
1012	1056	False	-1	True	False	112.76134734704068	16.088059811203728	10	10	0.5
1012	1057	False	-1	True	False	112.18360169827153	16.090993479665656	10	10	0.5
1012	1058	False	-1	True	False	111.65673224574044	16.094346756684864	10	10	0.5
1013	1059	False	-1	True	False	120.46369232784674	22.148427212231063	10	10	0.5
1013	1060	False	-1	True	False	120.24448925391604	22.404234061444484	10	10	0.5
1013	1061	False	-1	True	False	120.45861925053126	22.28294278578391	10	10	0.5
1014	1062	False	-1	True	False	69.47143005883932	13.224427172151213	10	10	0.5
1014	1063	False	-1	True	False	76.74748000878793	13.04441971852047	10	10	0.5
1014	1064	False	-1	True	False	70.53174676460432	13.231211903183752	10	10	0.5
1015	1065	False	-1	True	False	139.307260119343	20.88083400226472	10	10	0.5
1015	1066	False	-1	True	False	139.52792882182473	20.882516007802547	10	10	0.5
1015	1067	False	-1	True	False	139.0724128361295	20.8808816033253	10	10	0.5
1016	1068	True	130	True	False	59.68969251523805	13.005613219771234	10	10	0.5
1016	1069	True	131	True	False	59.790907973075385	13.005607893291772	10	10	0.5
1016	1070	True	131	True	False	59.75379130573719	13.00560427077161	10	10	0.5
1017	1071	True	120	True	False	75.15254213624262	18.537694097647346	10	10	0.5
1017	1072	True	122	True	False	75.15386844469428	18.537690835546005	10	10	0.5
1017	1073	True	122	True	False	75.15377991730823	18.537688969920378	10	10	0.5
1018	1074	False	-1	True	False	31.937797614754004	10.206329503417269	10	10	0.5
1018	1075	False	-1	True	False	31.942497478244306	10.206289038810118	10	10	0.5
1018	1076	False	-1	True	False	31.934741938849058	10.205951007008947	10	10	0.5
1019	1077	False	-1	True	False	149.9146630342115	23.326307500441544	10	10	0.5
1019	1078	False	-1	True	False	148.06896144435947	23.325975408242744	10	10	0.5
1019	1079	False	-1	True	False	150.39151868419623	23.327417688197436	10	10	0.5
