seed	time	gene_id	X	P	Z
546	0	0	0.9258344739513714	0.9258344739513714	0.5674707967303122
546	0	1	0.4092188566750804	0.4092188566750804	0.6337319573780497
546	0	2	0.11751065038347908	0.11751065038347908	0.6630611901226721
546	0	3	0.011404136371210849	0.011404136371210849	0.4414250832244888
546	0	4	0.6181499086598902	0.6181499086598902	0.6540769086095016
546	0	5	0.9290342744432684	0.9290342744432684	0.6358436366674022
546	0	6	0.6298509990454914	0.6298509990454914	0.4089742131858078
546	0	7	0.9417287963620568	0.9417287963620568	0.886307650760201
546	0	8	0.37865222816125266	0.37865222816125266	0.35853887065450424
546	0	9	0.2872795927734504	0.2872795927734504	0.11703239441006973
546	0	10	0.856219280724771	0.856219280724771	0.4863658364196268
546	0	11	0.6005725556672327	0.6005725556672327	0.6161652451204583
546	0	12	0.5037924941081005	0.5037924941081005	0.7597117451720408
546	0	13	0.2965244913738563	0.2965244913738563	0.47066108730060013
546	0	14	0.24803168204561998	0.24803168204561998	0.7279697122919289
546	0	15	0.49797365702054575	0.49797365702054575	0.6898776549528395
546	0	16	0.9119360825127999	0.9119360825127999	0.5673831265931608
546	0	17	0.7841633650514207	0.7841633650514207	0.40804599903883754
546	0	18	0.005286981423798354	0.005286981423798354	0.4171504099781461
546	0	19	0.3475541768050284	0.3475541768050284	0.7286420398867697
546	0	20	0.5016992835180285	0.5016992835180285	0.46266165075156046
546	0	21	0.603780652249405	0.603780652249405	0.5929224675468725
546	0	22	0.4250107304354127	0.4250107304354127	0.6473994076427684
546	0	23	0.6341826899298373	0.6341826899298373	0.49511280386793044
546	0	24	0.20956969952933024	0.20956969952933024	0.43869670436291514
546	0	25	0.3799279824244709	0.3799279824244709	0.46302603434083994
546	0	26	0.4473817083164914	0.4473817083164914	0.3394201749570376
546	0	27	0.8516807058059561	0.8516807058059561	0.3524368698157625
546	0	28	0.024867503745459762	0.024867503745459762	0.5301909134055393
546	0	29	0.7549587476841411	0.7549587476841411	0.17149887564581115
546	0	30	0.6426459459883751	0.6426459459883751	0.285695395104431
546	0	31	0.5247295878141321	0.5247295878141321	0.31911911395580533
546	0	32	0.11046550210758821	0.11046550210758821	0.25644148868473227
546	0	33	0.8974934073620724	0.8974934073620724	0.3156646958193133
546	0	34	0.48290646220581956	0.48290646220581956	0.4577185699490522
546	0	35	0.2672171230671666	0.2672171230671666	0.07861030954058751
546	0	36	0.5433974494818347	0.5433974494818347	0.5652786223031177
546	0	37	0.27373998073151395	0.27373998073151395	0.6538320625333136
546	0	38	0.523932490730197	0.523932490730197	0.5834607774059744
546	0	39	0.08536130357454486	0.08536130357454486	0.43674994683542784
546	0	40	0.21008614744658327	0.21008614744658327	0.2615495737056471
546	0	41	0.4756781829430895	0.4756781829430895	0.4836620148956833
546	0	42	0.4626063341141935	0.4626063341141935	0.16334433508374424
546	0	43	0.8889369739508739	0.8889369739508739	0.3387107524438336
546	0	44	0.923745998623953	0.923745998623953	0.42126535404159876
546	0	45	0.30941262335421593	0.30941262335421593	0.4782617405699135
546	0	46	0.34439523837009334	0.34439523837009334	0.377281868648789
546	0	47	0.9714943056780893	0.9714943056780893	0.5288469151392557
546	0	48	0.11325112308380691	0.11325112308380691	0.5621286185208025
546	0	49	0.10084417669872625	0.10084417669872625	0.09452733192663781
546	1	0	1.4087610382244977	0.03560247209772899	0.574893774570725
546	1	1	0.23824490021349007	0.017363331381861004	0.6303351379400699
546	1	2	0.09213413741135627	0.004904511580510148	0.667897258122059
546	1	3	0.1747501436132276	0.00044310406077972424	0.444156509001403
546	1	4	0.5131355705269812	0.02677653626048638	0.646944317673369
546	1	5	0.9019551596890838	0.03989331258728311	0.6224206962111413
546	1	6	0.7273036741292067	0.02547132106101874	0.4196677127609179
546	1	7	1.4742940221263972	0.03923111251231711	0.8879568938910211
546	1	8	0.7894772514748927	0.015136389665716189	0.35729404686034133
546	1	9	0.20685110777080973	0.011816036874845098	0.11663457432849536
546	1	10	0.5936972376101686	0.035988866185298514	0.49831619059281573
546	1	11	0.6966359247754843	0.02333126133435617	0.6076376594616413
