gene_id	gene_type	collapse_count	collapse_rate	mean_Δmean_P_terminal	mean_deviation_score
0	TF	3	0.75	-0.008078719755637962	1.1217748939815948
1	TF	2	0.5	-0.004862445742197902	1.0322810423252768
2	TF	3	0.75	-0.00626910860036356	1.1105629411086424
3	TF	3	0.75	-0.005232182426167204	1.0013875428877212
4	TF	3	0.75	-0.004627306690239183	1.0283989112637695
5	TF	2	0.5	-0.0006147180996579696	0.869978452849957
17	EPI	0	0.0	0.0	0.052475847508876974
18	EPI	0	0.0	8.673617379884035e-19	0.07737548748961419
19	EPI	0	0.0	-8.673617379884035e-19	0.14012468835323927
