seed	gene_id	degree	TFinput_over_K	hill_activation	collapse_0.5	collapse_0.1
2026	0	13	2.8747199754147923	0.8920554417501227	False	True
2026	1	19	1.4074676416759626	0.6645381795717908	True	True
2026	2	19	0.5307611908826166	0.21979075143944676	True	True
2026	3	15	0.6063079842270762	0.2687970551638334	False	True
2026	4	19	2.85587626808105	0.8907823498857893	True	True
2026	5	14	0.38665609992289507	0.13005877101855953	True	True
4094	0	20	17.64635338855856	0.9967989120184565	False	False
4094	1	19	3.657025168488117	0.9304291350658721	False	False
4094	2	17	6.575454338888589	0.9773942842496512	False	False
4094	3	17	5.89373856864671	0.972017134491588	False	False
4094	4	14	2.078341555226984	0.8120125351159102	False	False
4094	5	14	0.6906252199819781	0.322935057731514	False	False
4478	0	18	3.0440041247139	0.9025907083456913	True	True
4478	1	10	0.6998236401080696	0.3287478430448505	False	False
4478	2	12	0.8267660920938102	0.4060142851161318	False	False
4478	3	19	0.18800956647997086	0.034140801782324176	True	True
4478	4	20	0.37360786576753013	0.12248590693618991	False	True
4478	5	19	0.14538872388904617	0.02070032012981382	False	False
7709	0	16	0.841676707830844	0.4146637319792383	False	True
7709	1	20	1.3510723531398705	0.6460673753967143	True	True
7709	2	21	1.44808324981111	0.6771011534812276	True	True
7709	3	17	1.5023569450918373	0.6929761908786469	False	True
7709	4	14	0.5888855216365343	0.25749162600013736	False	True
7709	5	15	0.8352596579603497	0.4109534488711256	False	True
