world_seed	cell_seed	converged	convergence_time	bounded	collapsed	max_expression	final_mean_expression	activation_count	repression_count	repression_ratio
1000	1020	False	-1	True	False	76.38679640328293	14.745829493167241	10	10	0.5
1000	1021	False	-1	True	False	76.23474293365089	14.746805815821144	10	10	0.5
1000	1022	False	-1	True	False	76.5248512797371	14.731222051126187	10	10	0.5
1001	1023	False	-1	True	False	46.017741342489394	12.267887130862073	10	10	0.5
1001	1024	False	-1	True	False	46.017863452898276	12.105667783922378	10	10	0.5
1001	1025	False	-1	True	False	46.01785784382049	12.154463885024388	10	10	0.5
1002	1026	False	-1	True	False	99.7176166248244	17.138733889220912	10	10	0.5
1002	1027	False	-1	True	False	99.76288446141248	17.214740546147752	10	10	0.5
1002	1028	False	-1	True	False	99.74866995526855	17.17908702197723	10	10	0.5
1003	1029	False	-1	True	False	24.660571545289486	8.922163309954353	10	10	0.5
1003	1030	False	-1	True	False	24.588804224279556	8.923838974088781	10	10	0.5
1003	1031	False	-1	True	False	24.649596365809018	8.922192087998035	10	10	0.5
1004	1032	True	72	True	False	77.76196049894669	13.832927905287358	10	10	0.5
1004	1033	True	72	True	False	77.76196049939605	13.832927905311237	10	10	0.5
1004	1034	True	72	True	False	77.76196049908192	13.83292790526232	10	10	0.5
1005	1035	True	79	True	False	66.23368311501915	12.203079027291036	10	10	0.5
1005	1036	True	80	True	False	66.23369742801835	12.203079027529654	10	10	0.5
1005	1037	True	79	True	False	66.23369736363344	12.203079027286908	10	10	0.5
1006	1038	False	-1	True	False	78.29111821243109	12.07913107280269	10	10	0.5
1006	1039	False	-1	True	False	78.29111151769673	12.077294810327654	10	10	0.5
1006	1040	False	-1	True	False	78.29111389115343	12.079771619114876	10	10	0.5
1007	1041	False	-1	True	False	27.04364348256494	7.627534119885252	10	10	0.5
1007	1042	False	-1	True	False	27.03292207954362	7.612976685791187	10	10	0.5
1007	1043	False	-1	True	False	27.06453250076873	7.616919900138365	10	10	0.5
1008	1044	True	144	True	False	73.29695703159453	8.867909529894007	10	10	0.5
1008	1045	True	146	True	False	73.37401355581419	8.868010990624288	10	10	0.5
1008	1046	True	145	True	False	74.21791756204415	8.867996886256543	10	10	0.5
1009	1047	True	82	True	False	26.545872090896935	8.572580566039683	10	10	0.5
1009	1048	True	82	True	False	26.545183206480566	8.572580566028162	10	10	0.5
1009	1049	True	81	True	False	26.545726558139826	8.572580566011423	10	10	0.5
1010	1050	False	-1	True	False	50.4114351547082	9.96106118742976	10	10	0.5
1010	1051	False	-1	True	False	56.65057969477755	9.924084691310792	10	10	0.5
1010	1052	False	-1	True	False	45.23173950598407	10.011865360573646	10	10	0.5
1011	1053	False	-1	True	False	37.90859008810252	10.463860076183739	10	10	0.5
1011	1054	False	-1	True	False	37.93126745123912	10.463484299247842	10	10	0.5
1011	1055	False	-1	True	False	37.901866797146525	10.464339181291734	10	10	0.5
1012	1056	False	-1	True	False	69.36924240531715	10.71407402222514	10	10	0.5
1012	1057	False	-1	True	False	69.062017733473	10.718620093470403	10	10	0.5
1012	1058	False	-1	True	False	68.82734255994734	10.72161569659765	10	10	0.5
1013	1059	False	-1	True	False	70.52608231990763	13.907404059697575	10	10	0.5
1013	1060	False	-1	True	False	70.56598111407695	14.15237366172234	10	10	0.5
1013	1061	False	-1	True	False	70.5699948508435	14.151255445318082	10	10	0.5
1014	1062	False	-1	True	False	47.46348730899442	8.752889466330295	10	10	0.5
1014	1063	False	-1	True	False	51.66740428711416	8.666572985162302	10	10	0.5
1014	1064	False	-1	True	False	47.910831265333165	8.769358978022993	10	10	0.5
1015	1065	False	-1	True	False	85.6413398781348	13.989990866539737	10	10	0.5
1015	1066	False	-1	True	False	85.76326402874268	13.989806989299149	10	10	0.5
1015	1067	False	-1	True	False	85.55018338710998	13.989773442792895	10	10	0.5
1016	1068	True	101	True	False	41.08834777438876	9.223938321910053	10	10	0.5
1016	1069	True	101	True	False	41.08575160667607	9.223938205021858	10	10	0.5
1016	1070	True	101	True	False	41.09099828308568	9.22393822323396	10	10	0.5
1017	1071	True	106	True	False	45.97823451627671	12.1556893237402	10	10	0.5
1017	1072	True	106	True	False	45.973452055361946	12.155689362212744	10	10	0.5
1017	1073	True	106	True	False	45.98328155272204	12.155689227505224	10	10	0.5
1018	1074	True	161	True	False	21.813102123717066	7.001785865981733	10	10	0.5
1018	1075	True	162	True	False	21.81517519734593	7.001777787780995	10	10	0.5
1018	1076	True	162	True	False	21.812591002760055	7.001747864029866	10	10	0.5
1019	1077	False	-1	True	False	79.93267298176953	14.447458690641625	10	10	0.5
1019	1078	False	-1	True	False	78.9379439229073	14.447462422447918	10	10	0.5
1019	1079	False	-1	True	False	80.19188988853011	14.447423049197672	10	10	0.5
