statistic	rho	delta_x	K
mean_collapse	1.2497929728517942	0.30517915079755364	0.010818332717612263
std_collapse	0.4341943749148104	0.11758369977830123	0.0051703895814763125
mean_steady	1.2668682942084888	0.2893164750123536	0.010674945991614133
std_steady	0.4503602142476967	0.11795882510869371	0.005425226731253004
